	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
Defa3	-0.080785	 -0.07862	-0.076298	-0.081204	-0.075963	-0.082148
Gm19276	-0.086916	-0.085413	-0.084751	-0.081986	-0.085903	-0.085526
Gm4846	-0.083382	-0.083046	-0.082668	-0.083138	-0.083985	 -0.08315
Syt12	-0.079422	-0.079346	-0.079257	-0.079361	-0.079525	-0.066016
4933427D06Rik	-0.069027	-0.070053	-0.068383	-0.067606	-0.065184	-0.068517
Gata5	-0.070989	-0.070865	-0.070428	-0.070834	-0.070407	-0.071227
Slurp1	-0.071369	 -0.07104	-0.070027	-0.070144	 -0.06999	-0.070452
Mir693	-0.070457	-0.070167	-0.069741	-0.069732	-0.070341	-0.070331
Gm15412	-0.075067	-0.076392	-0.076362	-0.068446	-0.070952	-0.074291
Mir190	-0.075772	-0.072246	-0.069904	-0.072031	-0.069576	-0.072918
Olfr69	  -0.0755	-0.074011	-0.071668	-0.073879	-0.071343	-0.077298
Slc22a3	-0.073405	-0.073084	-0.073147	-0.073126	-0.072967	-0.073112
Th	-0.076575	-0.075094	 -0.07275	-0.074956	-0.077846	-0.075766
1700003L19Rik	-0.054107	-0.052682	-0.052619	-0.052224	-0.052317	-0.052769
Frs3os	-0.052036	-0.052045	-0.051817	-0.051714	-0.051859	-0.052108
Foxl2os	-0.055409	 -0.05464	-0.052832	-0.054556	-0.052544	-0.055826
Gm12718	 -0.05866	-0.035885	-0.058865	-0.058441	-0.058375	-0.058552
Hsd17b14	-0.062996	-0.042648	-0.059186	-0.062005	-0.062415	-0.063741
1700006A11Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Umod	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Usp17lb	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r11	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r123	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r184	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r193	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r214	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r224	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r236	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r35	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r5	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r63	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn1r66	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r113	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r114	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r12	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r121	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r124	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r13	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r23	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r32	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r66	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Vmn2r98	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Wbscr28	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Zfp616	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Uchl1os	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700007F19Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ubqlnl	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Triml1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Tmem212	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Theg	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Tex13	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Tbx19	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Tas2r119	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Taar8b	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Taar4	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Sva	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Sult2a2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ssxb3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Srrm4os	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Slfn5os	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Slc22a29	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Slc22a26	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Slc15a5	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Skint9	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Skint2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Six3os1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Serpinb9d	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Serpina4-ps1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Rtdr1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Pth	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Prh1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ppy	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ppp1r2-ps9	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Pmp2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Pglyrp3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Pdha2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Pak7	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr97	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr926	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr924	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr906	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr904	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr902	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr887	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr847	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr836	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr786	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr74	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr707	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700016P04Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr690	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr653	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr633	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr632	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr629	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr596	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr53	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr493	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr449	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr403	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr366	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr345	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr303	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr298	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr294	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr239	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1511	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1502	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1487	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr138	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr137	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1354	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1310	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1275	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1272	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr126	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1193	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1161	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1152	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1102	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr11	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1098	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1087	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1047	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Olfr1026	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Oas1f	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ntsr2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Nlrp9a	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mstn	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mrgprb3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir759	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir6906	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir6341	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir34b	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir3083	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir208b	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir204	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Mir141	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ldoc1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krtap4-7	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krtap4-6	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krtap19-5	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krtap16-1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krtap14	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krt74	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Krt31	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Klk6	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Kir3dl2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Kcnmb2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Kcnf1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700028P15Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Irx1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Hdhd1a	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
H2-M10.4	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
H2-M10.3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm9839	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm815	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm7538	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm7104	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm6756	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm6614	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm6289	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm5938	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm5800	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm5640	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700030N03Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm5136	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm5108	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm438	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm4297	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm21951	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm21276	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm21119	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm20736	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm19757	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm1715	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm1653	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm15127	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm13629	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm10754	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm10745	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm10696	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm10494	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gm10024	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Gabra2	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Foxb1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Folh1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Esp6	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Esp36	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
E230019M04Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
E130114P18Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Defb12	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Defa4	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
D16Ertd519e	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Cypt3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Cypt14	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700051A21Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700052I22Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ctsq	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Cplx4	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ceacam13	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Cdh9	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Cdh8	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Ccna1	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Bpifa5	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
BC061237	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
BC055402	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
BC048602	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
BC006965	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
B230323A14Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Akr1b3	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
Abo	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
9430007A20Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
9130409I23Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700065L07Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
8430422H06Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
5930438M14Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
5430440P10Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700066N21Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4933432G23Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4933430H16Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4933402J10Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4933400B14Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4931431F19Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930556G01Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930548J01Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930543E12Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930509K18Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930434J06Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930433B08Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930405L22Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
4930401O10Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
2610100L16Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
2410088K16Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
2310081J21Rik	-0.065175	-0.063009	-0.060687	-0.060727	-0.060352	-0.063689
1700009N14Rik	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Sprr2i	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Speer3	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Serpinb13	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Prl6a1	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Olfr524	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Neurod2	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Mir9-1	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Mir713	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Mir7058	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Gm11548	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Dio3os	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
Cdsn	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
4931428L18Rik	-0.065175	-0.063009	-0.063556	-0.057858	-0.060352	-0.063689
1700044C05Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Gm12888	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Gm4251	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Kcnj3	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Olfr1215	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Olfr1250	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Olfr1286	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Rprl1	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Spink8	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Tubb2a-ps2	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Vmn1r60	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Vmn2r108	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Zfp474	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Defa20	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
2410018L13Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
4930544M13Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Cts8	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Gm13283	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Lgals6	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Mir19b-1	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Olfr1340	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Prok2	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Tcl1b2	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
Vmn1r180	-0.065175	-0.063009	-0.060687	-0.057858	-0.063221	-0.063689
1700030A11Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Gm8765	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Kpna7	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Mir6237	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Mir6954	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Npffr1	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Odf3l1	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Olfr1342	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Plac9b	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Tcstv1	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Vmn2r82	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
1700031M16Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Gm10228	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Gjb6	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Fbp1	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Fam47e	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Arx	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
Agr3	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
4930515L03Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
2810471M01Rik	-0.065175	-0.063009	-0.060687	-0.057858	-0.060352	-0.066557
1700028P14Rik	-0.068044	-0.063009	-0.060687	-0.057858	-0.060352	-0.063689
LOC102634753	-0.068044	-0.063009	-0.060687	-0.057858	-0.060352	-0.063689
Mir344d-2	-0.068044	-0.063009	-0.060687	-0.057858	-0.060352	-0.063689
