	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage
Usp17lb	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Uncx	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Umod	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Uchl1os	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ubqlnl	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tunar	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tubb2a-ps2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Triml1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tprg	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Toporsl	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tmprss11bnl	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tmem247	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tmem213	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tmem212	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tmco5b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Theg	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tff1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tex13	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tekt4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tdpoz3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tdpoz2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tcstv1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tcl1b2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tbx19	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tas2r119	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Tal2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Taar8b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Taar4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Syt14	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sva	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sult2a2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sult1c1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
St8sia3os	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ssxb3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sstr5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Srrm4os	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sprr2i	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sprr2b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Spink8	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Speer3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Spata22	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sox2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Snora15	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Smr2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Agtr2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slfn5os	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slco6d1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slc22a29	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slc22a26	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Agr3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slc22a19	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slc17a6	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Slc15a5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Skint9	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Skint2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Six3os1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sftpd	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Serpinb9d	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Serpinb13	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Serpina4-ps1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Scgb2b27	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Scgb2b26	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Scgb2b19	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Scgb1b27	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Sall4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rubie	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rtdr1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rprl1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ropn1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rmst	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ribc2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rhox2c	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Rgr	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ptpn20	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pth	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Psg18	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prr27	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prop1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prok2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prodh2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prl8a9	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prl6a1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prh1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Prdm12	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ppy	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ppp1r2-ps9	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pou6f2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pou4f2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pou3f4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Popdc3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pnpla5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pmp2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Plac9b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pih1d3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pglyrp3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pdha2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pax6os1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Pak7	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Otx2os1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Otud7a	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Oog3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Omt2a	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr982	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr97	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr93	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr926	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr924	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr918	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr914	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr906	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr904	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr902	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr895	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr887	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr862	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr847	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr836	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr802	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr796	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr786	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr775	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr771	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr769	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Alppl2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr761	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr74	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr714	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr711	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr710	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr707	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr691	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr690	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr668	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr653	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr633	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr632	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr629	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr624	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr620	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr611	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr61	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr596	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ambn	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr574	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr566	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr550	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr53	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr524	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr509	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr508	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr493	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr479	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr467	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr449	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr447	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr43	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr403	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr367-ps	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr366	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr355	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr345	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr341	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr325	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr324	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr303	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr298	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr294	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr293	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr26	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr259	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr248	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr239	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr211	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr170	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr167	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr159	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1511	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1502	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1501	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1500	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1497	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1487	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1428	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1425	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr139	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1386	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr138	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr137	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr136	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1354	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1347	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1342	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1340	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Amtn	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1311	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1310	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1302	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1301	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr130	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1286	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1275	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1272	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1271	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr126	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1257	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1250	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1215	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1193	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1188	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1182	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1161	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1152	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1107	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1105	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1102	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr11	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1099	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1098	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1093	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1087	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1047	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1039	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1026	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfr1013	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Olfm3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Odf3l1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Obox5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Oas1f	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Nxf3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ntsr2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Nrg3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Npffr1	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Akap4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Nlrp9a	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Nlrp5	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Nlrp4b	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Neurod2	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Mup7	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Mup6	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Mt4	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Mstn	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Ms4a3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
Mrgprb3	 0.0026261	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474
