	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Olfr1445	   0.14333	  0.032923	  0.072186	  0.033029	  0.032845	   0.12682	-0.0030069	   0.39828	 -0.055449
Rit2	0.080603	0.069066	0.069134	0.069223	0.078742	0.075886	0.093107	 0.44168	-0.07499
Mir668	  0.25899	 0.071679	 0.074001	  0.07683	 0.074336	  0.16924	-0.023483	  0.45672	 0.010136
Mir320	  0.10933	  0.10943	  0.11055	  0.11097	  0.22594	  0.11013	-0.023483	  0.45672	 0.010136
Cyp2d9	  0.031378	  0.031434	  0.031845	   0.12705	  0.031873	    0.3413	-0.0067547	   0.49666	 -0.046919
Gm15319	 0.068601	    0.169	 0.073088	 0.075918	 0.073423	  0.25513	-0.028101	  0.45384	0.0083215
Mir6912	 0.053528	  0.12005	 0.054164	 0.053596	 0.054202	  0.27889	-0.023483	  0.45672	 0.010136
Gm1322	 0.090967	 0.091509	 0.092112	 0.092857	 0.092174	  0.40099	-0.011348	  0.37243	 -0.05509
Mir343	   0.13279	   0.13276	   0.22295	   0.20328	   0.13364	   0.30886	-0.0045948	   0.41416	 -0.047791
Gap43	 0.05817	 0.12293	0.058214	0.058314	 0.05824	 0.17473	-0.22318	 0.40309	 -0.1002
Hsd17b1	 0.030049	 0.062485	  0.03053	 0.031908	 0.030053	  0.31428	 -0.15313	  0.29323	-0.052091
Htatsf1	0.044826	0.025974	0.082336	0.032732	0.079513	  0.1089	 -0.2326	 0.19117	-0.14007
Mir1954	 0.050755	 0.052921	 0.055243	 0.058072	 0.055578	 0.046584	  -0.2181	  0.30904	-0.049104
Slc51b	 -0.021168	 -0.021123	  0.039667	 -0.020998	  0.041429	-0.0011535	  -0.20701	   0.23556	 -0.049777
Serpina3i	  0.03849	  0.17223	  0.12661	  0.11865	 0.080718	 0.038514	 -0.13887	  0.33549	-0.020103
Klhl33	-0.0041347	  0.023691	-0.0039082	-0.0039289	-0.0038986	  0.014527	  -0.20024	   0.27578	   0.18739
Prdm6	0.010213	 0.11491	0.010799	0.010334	0.010417	 0.11627	-0.12284	 0.25822	0.065357
Arpc5	0.0052589	 -0.06895	  0.24888	0.0084773	   0.4353	  0.01652	 0.095951	  0.40368	  0.14429
Atp5j	  0.23061	-0.039024	  0.28405	 0.069591	  0.28407	-0.018106	  0.20451	   0.4491	  0.07371
Snrpe	  0.28328	0.0037159	  0.15062	-0.030793	  0.10803	-0.024219	   0.2089	  0.52367	 0.060067
Kcnb2	 0.1189	0.26062	0.11914	 0.1193	 0.2798	0.11897	0.18241	0.31377	0.10484
Mir6359	  0.20371	  0.11732	  0.18223	  0.11762	  0.22942	  0.11697	  0.25802	  0.31188	-0.063067
Mslnl	  0.10527	  0.21424	  0.10535	  0.10534	  0.28051	  0.15518	  0.28165	  0.48076	-0.044817
Map1lc3b	0.048803	0.081226	 0.21653	0.055035	 0.24457	0.031705	 0.31441	  0.3543	 0.10707
Mpp3	0.082073	  0.1083	0.082398	0.082535	 0.23145	0.081898	 0.33362	 0.33521	 0.15984
Mir7069	 0.13853	 0.12341	0.088599	 0.04168	0.041451	0.082599	0.091427	 0.22959	  0.1806
Pygo1	 0.14509	 0.08938	 0.10922	0.026026	 0.11518	 0.12291	 0.22187	 0.36271	 0.18008
Atg16l1	 0.095758	 0.020497	-0.013597	-0.019224	 0.072876	  0.19058	  0.22552	  0.35811	 -0.21098
Mir7578	0.052759	0.053579	0.053585	0.054341	0.053102	0.053222	 0.25439	 0.38746	-0.22065
Slc45a2	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	  0.18587	  0.29713	-0.049781
Fam167b	 -0.019279	 -0.019517	 -0.025209	-0.0094457	   0.16261	    0.1936	   0.13107	    0.2513	  -0.19461
Chodl	-0.085899	0.0019834	  0.13928	 0.010817	 -0.14027	  0.23205	  0.21697	  0.37357	  -0.1828
Rgs8	 0.058338	 0.058743	 0.058637	  0.05939	 0.058867	  0.37661	  0.28543	  0.21824	-0.079378
Serp2	   0.14335	7.4156e-05	   0.20801	  0.013889	 0.0087509	   0.28109	   0.30465	   0.17013	  -0.15573
Lrrtm4	 0.10712	 0.10774	 0.10811	 0.10859	 0.10645	 0.10764	 0.49185	 0.26551	-0.37848
Slc10a5	0.070997	0.082599	0.071145	 0.13887	0.070862	0.083058	 0.45268	 0.35928	-0.36613
Snapc5	 0.081968	 -0.11845	  0.17402	-0.010604	  0.17653	 0.013385	    0.378	  0.22767	 -0.30576
Nr2f1	 0.16709	 0.11827	 0.11868	 0.15048	 0.20167	 0.16575	 0.20439	 0.49122	-0.41144
Stx1b	0.031862	  0.1945	0.032136	0.072684	 0.05619	 0.19805	  0.2906	  0.4794	-0.28214
Emc1	  0.23643	  0.20351	 -0.04909	  -0.2875	-0.026425	  0.17268	  0.28635	  0.48734	-0.047253
Zfp865	   0.32082	   0.14078	 -0.079895	-0.0013597	 -0.059946	   0.16833	   0.43276	   0.40714	  -0.25686
Fubp3	  0.079979	   0.52653	  -0.17228	 -0.029608	-0.0084437	   0.28287	   0.11452	    0.6196	  -0.12229
Gm16432	  0.11151	  0.33767	  0.11223	  0.11261	  0.11227	  0.26208	  0.20691	   0.5316	-0.053788
Pnmal2	  0.16146	  0.36445	  0.12751	 0.097211	 0.095796	  0.12875	-0.057817	  0.30791	 -0.13479
Spata20	  0.11529	  0.39412	 0.097069	 0.097028	 0.097083	 0.096909	   0.0682	  0.39972	-0.055119
Alkbh5	  0.10663	  0.27838	 -0.15258	  -0.1119	-0.088782	-0.056231	 -0.31714	  0.32011	 -0.14632
Angel2	  0.22676	  0.27774	 0.039748	  0.15694	 -0.10554	-0.064294	 -0.01581	  0.22912	 -0.11962
Rnf38	 0.064129	  0.25383	  0.12704	  0.18195	 -0.08964	 -0.25828	-0.050644	    0.258	 0.057379
Zc3hav1	 0.042247	  0.44431	 -0.10594	   0.2046	  -0.2664	-0.077781	 -0.14761	  0.32497	 -0.12885
Papd5	0.094766	 0.10314	-0.30755	-0.15608	 0.17688	0.045378	 0.24326	 0.39112	0.093352
Ptma	    0.16988	    0.14561	   -0.28668	-0.00011741	    0.21451	   -0.21195	    0.16594	    0.23589	   0.084495
Ptcd1	  0.25808	  0.33757	 -0.17905	 -0.02575	  0.09788	  0.17625	  0.28414	0.0088929	 0.014402
Pus7	-0.12064	 0.24785	-0.23214	0.092378	 0.12795	 0.33902	0.076873	 0.18144	0.073371
Trim39	0.053303	 0.25161	-0.25202	  0.1761	0.049962	 0.29718	 0.34613	 0.11842	0.077187
Aadacl2	         0	         0	         0	         0	         0	         0	-0.0073444	   0.04563	 -0.034118
Olfr150	         0	         0	         0	         0	         0	         0	-0.0073756	  0.045488	 -0.033926
Olfr67	         0	         0	         0	         0	         0	         0	-0.0073756	  0.045488	 -0.033926
Mir504	         0	         0	         0	         0	         0	         0	-0.0072001	  0.046333	 -0.034956
Olfr1141	         0	         0	         0	         0	         0	         0	-0.0072001	  0.046333	 -0.034956
Mir105	         0	         0	         0	         0	         0	         0	-0.0076289	  0.044195	 -0.032393
Klra19	         0	         0	         0	         0	         0	         0	-0.0079625	  0.042446	 -0.030344
Mir6343	         0	         0	         0	         0	         0	         0	-0.0080152	  0.042119	 -0.029976
Olfr1254	         0	         0	         0	         0	         0	         0	-0.0082311	  0.040635	 -0.028348
Vmn1r237	         0	         0	         0	         0	         0	         0	-0.0082311	  0.040635	 -0.028348
Olfr1273-ps	        0	        0	        0	        0	        0	        0	-0.011153	 0.039898	-0.031325
Actrt1	         0	         0	         0	         0	         0	         0	-0.0068931	  0.049265	 -0.024782
Glipr1l2	        0	        0	        0	        0	        0	        0	-0.010816	 0.044603	-0.019359
Lce1j	        0	        0	        0	        0	        0	        0	-0.010644	 0.043104	-0.024616
Gm15104	         0	         0	         0	         0	         0	         0	-0.0060977	  0.050874	 -0.040781
Gm6083	         0	         0	         0	         0	         0	         0	-0.0057076	  0.052227	 -0.042648
Olfr819	         0	         0	         0	         0	         0	         0	-0.0058012	  0.051908	 -0.042203
Ren2	         0	         0	         0	         0	         0	         0	-0.0054897	  0.052992	   -0.0437
Klra6	         0	         0	         0	         0	         0	         0	-0.0046786	  0.055586	 -0.047441
Klra8	         0	         0	         0	         0	         0	         0	-0.0046315	  0.056465	 -0.049361
Olfr284	         0	         0	         0	         0	         0	         0	-0.0044537	  0.056296	 -0.048476
Olfr1101	         0	         0	         0	         0	         0	         0	-0.0051286	   0.05413	  -0.04535
Hsd3b1	        0	        0	        0	        0	        0	        0	-0.039719	 0.061015	-0.056221
C8a	       0	       0	       0	       0	       0	       0	 0.02004	0.070549	-0.06714
Olfr622	          0	          0	          0	          0	          0	          0	-0.00046157	   0.066333	  -0.065421
Olfr616	         0	         0	         0	         0	         0	         0	-0.0027976	  0.060801	 -0.096915
Fscb	        0	        0	        0	        0	        0	        0	 0.044681	 0.057039	-0.051323
Olfr297	        0	        0	        0	        0	        0	        0	 0.045128	 0.059734	-0.055391
Olfr92	        0	        0	        0	        0	        0	        0	 0.051881	 0.059052	-0.053866
Olfr1241	        0	        0	        0	        0	        0	        0	 0.027571	 0.056483	-0.050807
Ankub1	0.00072253	  0.001567	  0.043085	 0.0019356	 0.0018096	  0.001391	         0	         0	         0
Mir8095	0.0096667	 0.010251	 0.009975	 0.015092	0.0087593	0.0099109	        0	        0	        0
Olfr1328	0.0055452	0.0056716	0.0057484	0.0058494	0.0057305	 0.025821	        0	        0	        0
Defb33	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Gm14781	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Gm3139	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Gm5868	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Gm597	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Hoxc13	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Klk5	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Klra21	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Krtap3-2	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Lcn5	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir297-2	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir6335	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir6349	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir7034	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir7053	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mir7243	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Mup14	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr1163	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr125	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr1383	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr196	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr395	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr597	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr640	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr643	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr66	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr800	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Olfr809	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Otp	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Pcdha8	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Taar7a	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Uts2	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Vmn1r16	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Vmn1r88	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Vmn2r75	        0	        0	        0	        0	        0	        0	-0.023622	 0.021601	 0.010082
Defb39	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Ins2	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Mir18b	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Mir297b	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Mir3110	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Olfr1472	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Olfr623	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Prl8a8	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Prss28	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Samt4	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Ugt3a1	        0	        0	        0	        0	        0	        0	-0.023592	 0.022188	0.0095255
Gm4763	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Mir100	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Mir467b	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Mir719	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Olfr1324	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Olfr1415	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Olfr437	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Olfr557	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Pcdhb1	        0	        0	        0	        0	        0	        0	-0.028066	 0.019405	 0.007767
Dlx5	         0	         0	         0	         0	         0	         0	 -0.022954	  0.034383	-0.0020224
Gm10104	         0	         0	         0	         0	         0	         0	 -0.022954	  0.034383	-0.0020224
Obox1	         0	         0	         0	         0	         0	         0	 -0.022954	  0.034383	-0.0020224
Olfr121	         0	         0	         0	         0	         0	         0	 -0.022954	  0.034383	-0.0020224
Rgn	         0	         0	         0	         0	         0	         0	 -0.022954	  0.034383	-0.0020224
Olfr1462	          0	          0	          0	          0	          0	          0	  -0.023014	   0.033242	-0.00094203
Vmn2r50	          0	          0	          0	          0	          0	          0	  -0.023014	   0.033242	-0.00094203
Olfr307	         0	         0	         0	         0	         0	         0	 -0.022225	  0.035832	-0.0034005
Speer4a	         0	         0	         0	         0	         0	         0	 -0.022225	  0.035832	-0.0034005
Olfr799	         0	         0	         0	         0	         0	         0	 -0.023669	  0.032915	-0.0044094
Iqcf5	         0	         0	         0	         0	         0	         0	 -0.029151	  0.029018	-0.0038667
Mir363	         0	         0	         0	         0	         0	         0	 -0.029151	  0.029018	-0.0038667
Esp23	        0	        0	        0	        0	        0	        0	-0.017464	 0.039949	-0.011718
Olfr435	        0	        0	        0	        0	        0	        0	-0.017464	 0.039949	-0.011718
Mir218-1	         0	         0	         0	         0	         0	         0	 -0.018836	   0.03865	-0.0096063
Olfr3	         0	         0	         0	         0	         0	         0	 -0.040763	  0.032466	-0.0038414
Gm773	        0	        0	        0	        0	        0	        0	-0.021275	 0.037131	 0.027679
Pnmal1	-0.0059026	-0.0055819	-0.0052125	-0.0051214	-0.0068857	-0.0056794	         0	         0	         0
Snap25	-0.0082085	-0.0083658	 -0.008077	-0.0079618	-0.0081372	-0.0082536	         0	         0	         0
Ripply1	         0	         0	         0	         0	         0	         0	 -0.020731	 -0.011202	-0.0055637
Mir3079	-0.0075527	-0.0073723	-0.0075205	-0.0068867	  0.026584	  0.047651	 -0.020396	  0.055518	 -0.011465
Fam187a	         0	         0	         0	         0	         0	         0	  -0.10265	  0.034637	-0.0058167
Olfr228	         0	         0	         0	         0	         0	         0	  -0.10265	  0.034637	-0.0058167
Olfr385	         0	         0	         0	         0	         0	         0	  -0.10265	  0.034637	-0.0058167
Pou3f3os	         0	         0	         0	         0	         0	         0	  -0.10265	  0.034637	-0.0058167
Olfr356	        0	        0	        0	        0	        0	        0	 -0.09472	 0.046593	-0.025156
Npsr1	        0	        0	        0	        0	        0	        0	 -0.13098	 0.063494	-0.060894
__ambiguous	        0	        0	        0	        0	        0	        0	 -0.10123	-0.036101	 0.019108
Gm12709	  0.036086	  0.011029	  0.011011	  0.011178	  0.011221	  0.010471	-0.0027448	  0.060935	  0.076523
Magea10	         0	         0	         0	         0	         0	         0	-0.0076814	  0.049263	  0.079071
Jmjd7-pla2g4b	  0.03056	 0.032725	 0.035047	 0.037877	 0.032554	 0.032046	-0.006564	 0.051391	 0.066565
Ccdc7	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Gm3434	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Lrrc38	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Olfr1115	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Olfr871	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Speer4f	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Ugt2b38	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Fkbp6	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Pfn3	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	        0	        0	        0
Gm364	-0.044979	-0.042814	-0.040492	-0.037662	-0.043025	 0.054745	        0	        0	        0
Mir8106	-0.040212	-0.040644	-0.038205	 -0.04011	-0.037849	 0.041192	        0	        0	        0
Mir6999	-0.057821	-0.057353	-0.057152	 -0.05702	-0.057131	 0.069678	        0	        0	        0
Nppb	 -0.029649	 -0.029328	 -0.029091	 -0.029395	 -0.029066	  0.083293	 -0.040763	  0.032466	-0.0038414
Obp2a	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	-0.028066	 0.019405	 0.007767
Olfr1002	 -0.044979	 -0.042814	 -0.040492	 -0.040531	 -0.040156	  0.054745	 -0.040763	  0.032466	-0.0038414
Olfr1045	-0.027612	-0.022618	-0.020296	-0.020335	-0.019961	 0.074941	        0	        0	        0
Skint6	-0.024784	-0.022618	-0.020296	-0.020335	 -0.02279	 0.074941	        0	        0	        0
Rnf138rt1	-0.013403	 -0.01324	-0.013059	-0.013131	-0.013264	  0.10341	        0	        0	        0
Vmn2r28	-0.024784	-0.022618	-0.020296	-0.023164	-0.019961	 0.074941	-0.011153	 0.039898	-0.031325
Sbk3	-0.030646	-0.015756	-0.030489	  0.01879	 0.028149	 0.075618	        0	        0	        0
Vmn2r6	-0.024784	-0.022618	-0.020296	-0.020335	 0.078277	 0.074941	        0	        0	        0
Pla2g4b	-0.077895	-0.080315	  0.02483	-0.070578	-0.073072	 0.020462	        0	        0	        0
Cyct	-0.044979	-0.042814	-0.040492	 0.057707	-0.040156	-0.043493	-0.023273	 0.034894	  0.03893
Hist1h2ba	-0.037003	-0.036986	-0.036841	 0.044492	-0.036417	-0.036684	        0	        0	        0
Mir8120	-0.033028	-0.032104	-0.032146	 0.052047	-0.031107	-0.032633	        0	        0	        0
Mir7649	-0.044979	-0.042814	-0.040492	 0.057707	-0.040156	-0.043493	        0	        0	        0
Hist2h2aa2	-0.065302	-0.064723	0.0028525	 0.018256	-0.064007	-0.064732	        0	        0	        0
Cox7b2	-0.044979	 0.055424	-0.040492	-0.040531	-0.040156	-0.043493	        0	        0	        0
Gm20751	-0.047848	 0.055424	-0.040492	-0.037662	-0.040156	-0.043493	        0	        0	        0
Klra22	 -0.054072	  0.054973	 -0.052229	 -0.049394	 -0.051626	 -0.053475	-0.0027895	  0.061198	 -0.056746
Gm14405	-0.013486	  0.10633	-0.012739	-0.011928	-0.012958	-0.013096	        0	        0	        0
Gm3558	 -0.012437	   0.13727	-0.0079494	-0.0051199	-0.0076142	 -0.010951	         0	         0	         0
Urad	 -0.02645	  0.12613	-0.026366	 0.031353	-0.026151	-0.026283	        0	        0	        0
Mir331	-0.029396	 0.098406	-0.028425	  -0.0279	-0.028703	 0.075292	        0	        0	        0
Afm	 0.025832	  0.02581	 0.026117	 0.025932	 0.028131	  0.10678	 0.041768	 0.061675	-0.057454
Alb	 0.038868	 0.039207	 0.039589	 0.039027	 0.039939	 0.092409	 0.068652	 0.062886	-0.059306
Sult1e1	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	 0.083292	 0.054374	-0.047916
Alppl2	0.050755	0.052921	0.055243	0.058072	0.055578	 0.14765	       0	       0	       0
Olfr1086	0.047927	0.052921	0.055243	0.058072	0.055578	 0.15048	       0	       0	       0
Hrg	0.050755	0.052921	0.052414	0.058072	0.055578	 0.15048	       0	       0	       0
Greb1	0.068544	0.068735	0.068849	0.068431	0.068862	  0.1243	       0	       0	       0
Kcng1	 0.049852	 0.049688	 0.050316	 0.050639	 0.049528	    0.165	-0.021275	 0.037131	 0.027679
Uba1y	 0.051381	 0.051894	 0.052355	 0.052477	 0.051998	  0.17534	-0.023622	 0.021601	 0.010082
Pet117	 0.050755	 0.052921	 0.055243	 0.055244	 0.055578	  0.15048	-0.023592	 0.022188	0.0095255
Vmn2r47	  0.050755	  0.052921	  0.055243	  0.058072	  0.055578	   0.14765	 -0.022989	  0.033713	-0.0013874
Bsph2	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	-0.023622	 0.021601	 0.010082
Olfr1054	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	-0.023622	 0.021601	 0.010082
Olfr1242	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	-0.023622	 0.021601	 0.010082
Slx	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	-0.023622	 0.021601	 0.010082
Gm4224	  0.03056	 0.032725	 0.035047	 0.037877	 0.035383	  0.13028	-0.017464	 0.039949	-0.011718
Mb	    0.03056	   0.032725	   0.035047	   0.037877	   0.035383	    0.13028	  -0.023014	   0.033242	-0.00094203
Pbp2	 0.047976	 0.048277	  0.04847	 0.048192	 0.048491	   0.1174	-0.023592	 0.022188	0.0095255
Defb41	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm10267	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm13083	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm14347	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm14744	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm5168	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gm5833	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Gpr26	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Krt26	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Krt33a	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
Krtap9-5	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	       0	       0	       0
