	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage	LI_v_SI_SPF_CCR6-ILC3	LI_v_SI_SPF_CCR6+ILC3	LI_v_SI_SPF_ILC2
Sult1c1	 -0.14071	 -0.14142	 -0.13623	 -0.13627	 -0.13589	 -0.13923	   1.1465	 0.050496	-0.044584
Tcp10c	 -0.13152	 -0.13153	 -0.13114	-0.092071	 -0.13121	-0.077929	   1.1254	 0.049525	-0.043322
Pax6os1	 -0.14071	 -0.13855	 -0.14196	  -0.1334	 -0.13589	 -0.13923	   1.2319	 0.054501	-0.049864
Prss21	 -0.19506	  -0.1949	 -0.19528	 -0.19446	 -0.19523	 -0.16056	   1.0593	 0.061937	-0.059564
Pglyrp4	 -0.14075	 -0.19609	 -0.19575	 -0.19662	 -0.19571	-0.039232	    1.009	 -0.14467	-0.048142
Slc22a16	 -0.16445	-0.064079	 -0.15996	 -0.16451	 -0.15963	 -0.16296	   1.0867	 -0.11123	 -0.05117
Eif4e1b	-0.044979	-0.042814	-0.040492	-0.040531	-0.040156	 0.054745	   1.0316	 -0.13494	-0.049014
Gm7616	 -0.11377	 -0.11318	 -0.11408	 -0.10835	 -0.01119	 0.035831	    1.009	 -0.14467	-0.048142
Rp1l1	-0.051596	 -0.06991	-0.069788	-0.070021	-0.070018	-0.048477	   1.0057	 -0.29797	-0.058645
Gfy	-0.15351	-0.15324	-0.15313	-0.15314	-0.15326	0.043391	  1.0818	-0.33021	0.066492
Gm17821	  -0.11697	  -0.11637	  -0.11655	  -0.11613	  -0.11609	-0.0049697	    1.0009	  -0.43127	  0.063122
Wdr65	-0.20385	-0.20357	-0.20348	-0.20389	 -0.2032	-0.11045	   1.048	-0.33074	0.056053
Avpr1b	0.010577	0.068533	0.012879	0.012131	 0.19752	 0.10932	   1.382	 0.09382	-0.12549
Rnase2b	0.067268	0.067342	0.067295	 0.06745	0.067276	 0.14755	  1.4684	 0.08357	0.051681
Crhbp	 0.06672	0.067208	0.067159	0.067488	0.067343	0.067079	  1.4883	-0.12497	-0.15425
Mcpt-ps1	 0.093025	 0.093129	 0.093209	 0.093255	   0.1152	  0.13841	   1.6578	  -0.1563	-0.098074
Gm20556	-0.047848	-0.042814	 0.057746	-0.037662	-0.040156	-0.043493	   1.4238	0.0050385	 -0.11884
Clip4	  0.13742	 0.090028	 0.056919	  0.21861	 0.081296	  0.12237	   1.2155	-0.032728	 -0.40423
Rhag	0.035672	0.067832	0.071408	 0.13001	0.036023	 0.14523	  1.3109	-0.16297	-0.24994
Slc5a9	 0.10873	  0.1774	 0.10887	 0.10972	 0.10969	 0.22418	  1.2309	-0.06764	-0.21215
Mroh2b	  0.11686	  0.11701	  0.26631	  0.11679	  0.11721	  0.24636	   1.2437	-0.051206	 -0.43133
Trim60	 0.054981	 0.033733	  0.19477	 0.034008	 0.033865	  0.32109	   1.4409	-0.034444	 -0.41851
Adam26b	 0.095987	 0.096476	 0.097027	 0.097714	 0.097085	  0.54753	   1.0515	 0.046624	-0.038786
Gm6260	 0.097803	  0.09827	 0.098796	 0.099455	 0.098852	  0.55856	   1.0382	 0.045615	-0.038358
Prss41	  0.11548	  0.11566	  0.22711	  0.11615	  0.26865	  0.40234	   1.1011	  0.04842	-0.041897
Zkscan4	  0.27516	  0.30734	  0.35537	  0.27489	  0.28218	  0.56572	   1.1815	 0.070536	-0.041393
Olfr1510	 0.094081	 0.094594	  0.53686	 0.095882	 0.095228	 0.094439	   1.0382	 0.045615	-0.038358
Foxn1	 0.37497	 0.17325	 0.11084	 0.18577	 0.11087	 0.16408	   1.004	-0.35546	-0.10701
Anks3	0.071765	 0.11809	 0.16112	-0.28509	 0.20724	 0.34181	  1.1046	 0.13444	 0.20398
Ccdc120	  0.27129	  0.44842	0.0086092	-0.091206	  0.35817	  0.13022	   1.1155	 0.019756	  0.34397
Rnase11	  0.10326	  0.59165	   0.1041	  0.10466	  0.10415	  0.10354	   1.0382	 0.045615	-0.038358
Wfdc13	 0.076114	  0.57119	 0.060362	 0.046883	 0.050716	  0.25862	   1.1145	  0.31275	-0.058623
Cacng8	   0.4364	-0.076434	 -0.26887	-0.062465	-0.057253	 -0.27517	   1.0548	  0.17071	 -0.15568
Tmem139	  0.19265	 -0.22085	 -0.28793	 -0.28034	 -0.33272	-0.031166	   1.0284	  0.16799	 -0.13802
Clec2f	0.0032432	  -0.1351	  0.13974	 -0.12564	  0.41061	   0.4079	   1.1756	 -0.49709	-0.087221
Slc39a13	  0.15678	-0.049035	 0.045743	 -0.12897	   0.4065	  0.17846	   1.1101	 -0.73694	  0.27432
Prr30	  0.22564	-0.010863	-0.010728	-0.010796	-0.010714	  0.17259	   1.0042	 -0.44487	  0.13327
Tenm2	 0.02695	0.026607	0.027659	0.028778	0.027736	  0.2461	  1.1099	-0.34714	0.088484
Slc1a6	 0.21227	-0.10344	-0.10315	 -0.1036	-0.10312	-0.10352	  1.0811	-0.40326	 0.24544
Slc6a2	-0.088516	-0.088331	-0.043135	 -0.08824	-0.088282	  0.12055	    1.252	 -0.46302	  0.41125
Wfdc11	-0.034585	 0.017196	-0.034336	 -0.03421	 0.042321	-0.034506	   1.3883	 -0.34141	  0.15577
Trpv6	 0.10252	 0.10288	 0.10422	 0.10706	   0.102	 0.29564	   1.432	-0.59585	 0.42075
Actl7a	-0.14337	-0.04229	-0.14317	-0.14318	-0.14312	-0.02581	  1.6583	0.097026	 -0.4566
Popdc3	 -0.1993	-0.19713	-0.19481	-0.19995	-0.19448	-0.19781	  1.4364	 0.28098	-0.38418
Dmrt3	-0.18949	-0.18845	-0.18811	-0.18895	-0.18807	-0.18854	  2.1241	 0.19468	-0.36741
Dsg4	-0.22497	-0.22465	-0.22428	-0.22465	-0.22477	-0.11635	  1.2847	-0.34244	-0.23133
Gm15941	 -0.13903	 -0.14655	 -0.14644	-0.095467	 -0.14642	 -0.14658	   1.4047	 -0.24653	-0.017587
Nkx2-2os	-0.15769	-0.15653	-0.15708	-0.15865	-0.15388	 -0.1572	  1.3019	-0.25095	-0.15859
Ecel1	-0.13634	-0.21217	-0.17008	-0.21198	-0.21193	-0.21219	  1.5945	 -0.4054	-0.12491
Slc22a3	-0.073405	-0.073084	-0.073147	-0.073126	-0.072967	-0.073112	   1.5992	 -0.51538	 -0.18769
Ifi27l2b	 -0.39822	  -0.1218	 -0.40251	 -0.12237	 -0.33384	-0.098402	   1.4337	 0.030692	 -0.15687
Tmem17	  -0.3047	 0.064373	 -0.29959	 0.097936	 -0.25309	-0.016928	   1.5735	 -0.26758	  -0.1162
Nfix	-0.54068	-0.22446	-0.17373	-0.24248	-0.22019	-0.23072	  1.4198	-0.55188	-0.44358
Khdc3	 0.14941	 0.28523	 -0.2266	-0.21685	-0.19364	-0.20695	  1.5463	-0.20966	-0.45563
Arhgef33	0.047235	0.047508	0.072488	0.047859	0.047753	 0.17051	  1.1284	-0.82819	-0.35508
Tfap2b	 0.11905	 0.11915	 0.11928	 0.11944	 0.11872	 0.22743	   1.236	-0.62533	-0.14554
Nctc1	  0.10633	-0.039748	  0.13391	-0.012097	 0.063539	  0.34939	   1.4533	 -0.92402	-0.090551
Slc35g2	-0.049952	  0.15036	  0.39635	  0.28785	 -0.15056	  0.18343	   1.3438	 -0.59362	 -0.31498
Dnajc5g	 0.35612	0.095452	0.097777	 0.10061	0.098112	 0.25111	  1.5965	-0.35453	0.081894
Mroh7	  0.31424	-0.085512	  0.18134	-0.088464	-0.084223	 0.088374	   1.6189	 -0.50045	 0.068397
Gh	 0.02977	0.029387	0.030197	0.030217	 0.16143	  0.0693	  1.6986	-0.76458	-0.18848
Mapk8ip2	0.081837	0.081974	 0.18517	0.099065	0.081955	 0.12564	  1.6244	 -0.5015	 -0.1528
Igfn1	 -0.02801	-0.081571	-0.081469	 -0.08149	-0.081448	  0.21275	   1.5404	 -0.55189	 -0.38874
Slc34a3	 0.036489	-0.042603	 -0.04265	-0.042356	-0.042484	 0.092475	   1.7072	 -0.29004	 -0.50487
Tmem207	 0.10071	 0.10113	 0.10162	 0.10223	 0.10167	 0.57627	  1.6022	-0.20436	-0.08984
Spata3	  -0.1173	 -0.07327	-0.058943	  0.35955	-0.045828	  0.66954	   1.1126	 -0.42246	 -0.41261
Fcrl6	  0.16427	 -0.22936	 -0.26771	 -0.27715	 0.041095	  0.65833	   1.1025	0.0012522	 -0.39726
Mir7079	  0.49475	   0.1501	 -0.24359	 0.037492	-0.085621	  0.24142	   1.0404	-0.034167	 -0.62673
Cnih2	  0.13149	 -0.24918	 -0.22914	   0.1279	  0.11633	 0.076673	   1.2671	  0.71891	-0.016838
Coq6	-0.042929	  0.13187	 -0.23891	  0.38222	 0.077515	  0.12453	    1.054	  0.49338	  0.12772
Slc7a5	   -0.10697	-0.00041171	   -0.26072	    0.19031	    0.12235	 -0.0098047	     1.0969	    0.84304	     0.1988
Mpped2	0.026724	0.012309	0.088886	0.012529	0.012066	0.090713	   1.018	  0.6498	 0.13046
Wisp2	  0.18475	  0.11422	  0.11446	  0.11414	  0.11373	  0.11415	   1.0131	   0.4645	-0.057999
Fkbp2	  0.02801	-0.084757	 -0.07726	 -0.16946	  0.04642	 -0.23307	   1.0435	  0.50047	  0.34135
Nme5	 -0.096256	 -0.054972	 -0.095849	 -0.095655	  -0.09612	-0.0077426	    1.0499	   0.67916	   0.46112
Nipal2	 0.032107	-0.024151	   -0.132	 -0.13707	-0.066512	 0.059671	   1.1601	   1.1231	  0.35401
Dock4	0.077159	 0.30396	-0.50349	 -0.1495	 0.33335	 0.22228	  1.1645	 0.44801	 0.37267
Gm8369	 0.22166	-0.27007	-0.29434	 0.03575	 0.21251	 0.18919	  1.2181	 0.40021	 0.38934
Fasn	-0.052611	-0.019293	  0.33289	-0.033678	  0.10688	  0.45639	   1.0325	  0.86193	-0.081669
Fstl3	-0.14986	-0.14616	 -0.6699	 0.14961	 0.34538	 0.60727	   1.049	 0.51119	 0.31216
Gpr124	  0.12441	-0.099553	 -0.18185	  0.19114	 0.069633	   0.6687	   1.0555	  0.80109	  0.46271
Akt1s1	  0.46971	  0.23858	0.0043438	 0.097255	 0.088297	  0.38409	   1.0216	  0.28278	  0.58642
Mir7655	  0.70755	  0.22291	 0.023844	-0.057844	 -0.19037	   0.3599	   1.2444	 -0.10912	  0.56761
Cela1	  0.54785	  0.30388	 -0.38422	-0.067083	 -0.42709	 0.025274	   1.0698	 -0.15898	  0.36415
Ankar	0.079726	0.047459	 0.04767	 0.04744	 0.35122	0.084702	  1.4138	0.091108	 0.58398
Atp6v1g3	 0.036639	  0.03669	 0.036907	 0.037053	 0.036452	 0.036707	   1.6804	-0.086753	  0.46711
Klk1b22	 0.03056	0.032725	0.035047	0.037877	0.035383	 0.13028	  1.5192	 0.11569	 0.48901
Cyp2f2	   0.11204	   0.04879	  0.071577	  0.048955	  0.048884	   0.31752	    1.7662	0.00016668	   0.50094
Cgn	   0.01377	0.00032372	  -0.36117	  0.029233	  0.092203	  0.046224	    1.6962	   0.28629	   0.61706
Ggt6	-0.049863	-0.049559	-0.049209	-0.049961	 0.024699	 0.065727	   1.5709	  0.44603	  0.70043
Gm2373	-0.14071	-0.13855	-0.13623	-0.13913	-0.13589	-0.13923	  1.5669	-0.12172	 0.87051
Ppara	-0.20745	0.056637	-0.15158	 -0.2151	-0.13973	 0.10523	  1.8896	-0.23988	 0.68496
Fer1l4	 0.17668	0.027344	0.054284	0.027961	0.027077	 0.29241	  1.2453	0.054801	  0.8488
Il3	  0.10833	 0.079272	 0.079108	 0.095237	 0.079349	 0.079178	  0.99955	-0.090359	   1.0313
Hmgb1-rs17	 0.078227	  0.30409	-0.010183	 0.084974	  0.52623	  0.28896	    1.011	  0.11976	  0.85384
Pacs2	-0.10887	-0.14903	 0.28308	 0.18704	 0.21058	 0.48367	  1.1928	-0.15568	 0.57666
Iqsec1	 -0.12949	-0.054902	 -0.26013	  0.48467	  0.10418	 -0.41145	   1.3038	  0.22877	  0.15678
Map3k10	 -0.01662	  0.52499	 -0.34611	  0.33805	  0.56923	 0.022669	   1.2985	-0.033958	  0.16422
Setd4	 -0.78849	  0.19619	 0.017558	  0.24352	  0.36603	-0.041891	   1.1554	 0.016978	  0.43731
Anp32b	-0.39965	-0.16649	-0.44443	-0.73313	-0.24981	-0.17849	  1.1506	 0.04833	 0.44565
Rxra	-0.43983	-0.26221	-0.37769	-0.61546	-0.35346	-0.41363	   1.063	-0.13388	 0.70691
Fam71b	 -0.19357	 -0.39517	 -0.40358	 -0.40341	 -0.39283	-0.072891	    1.265	  0.15259	  0.55648
Lin28a	-0.092648	 -0.23856	 -0.22753	 -0.22742	 -0.27587	 0.010326	   1.5716	-0.079284	  0.32946
Gm20605	 -0.50215	 -0.51319	 -0.31486	 -0.36608	 -0.57677	-0.045763	   1.4607	  0.10666	  0.13196
Gm5142	-0.33209	-0.33153	-0.33091	-0.33332	-0.33084	 -0.3317	  1.0089	-0.19862	 -0.1683
Gm6249	-0.25483	-0.25376	-0.25424	-0.25302	 -0.2534	 -0.1953	  1.1489	0.057625	-0.05371
Gm6567	 -0.24333	 -0.24139	 -0.24196	 -0.24302	 -0.23876	 -0.24207	   1.2811	 0.056899	-0.053075
Zfp185	-0.32345	-0.32343	-0.26288	-0.32297	-0.32379	-0.32343	  1.1001	 0.19423	0.092624
Ngrn	 -0.31377	  -0.2913	 -0.67648	 -0.42041	 -0.45499	 -0.42812	   1.0747	-0.021393	 -0.26088
Otos	-0.46531	-0.49847	-0.49138	-0.49349	0.051781	-0.22157	  1.0373	0.076641	 0.17778
Atpif1	-0.14779	-0.22228	-0.17751	-0.28375	-0.40619	-0.60568	  1.2064	-0.21513	 0.10776
Mrpl23	 -0.19963	 -0.41593	-0.036858	 -0.23915	 -0.20537	  -0.3849	   1.2285	 -0.51489	  0.18695
Foxd2	-0.62702	-0.40816	-0.36545	-0.22697	-0.54721	-0.51791	  1.0994	-0.59644	0.059665
Smok2b	 -0.3532	-0.35292	-0.35281	-0.35375	-0.35281	  -0.353	  1.1444	-0.85159	  0.1781
Cd3eap	-0.027094	-0.031501	 -0.21051	 -0.45148	 -0.47404	-0.033714	   1.2459	  0.51179	   0.2873
Snord42b	 0.025747	-0.091225	  -0.1631	 0.052323	 -0.67043	-0.039086	   1.3085	  0.45799	-0.014814
Clec12b	  0.19688	  -0.1903	  0.11676	 -0.22456	  -0.4663	 -0.35737	    1.024	 0.045929	-0.036783
Psap	0.078696	-0.36586	 0.25474	 -0.3011	 -0.5391	  -0.468	  1.1006	 0.19874	 0.40093
Fgf13	-0.046248	-0.078001	 -0.32897	 -0.12713	 -0.59365	 -0.73493	   1.0082	  0.18849	  0.20797
Ppp1r12c	-0.14318	 0.13883	 -0.1614	-0.25119	 -0.3877	 -0.4025	  1.2262	 0.18267	  0.3295
Myzap	-0.44275	0.074956	-0.74311	 0.42062	-0.29313	 0.32378	  1.6565	-0.15109	 -0.1112
Otud3	-0.16346	 0.14074	-0.51139	  0.4232	-0.15233	 0.18396	   1.023	-0.37052	 0.10219
Scml4	0.076939	-0.43777	 0.70416	-0.43173	 0.48507	 0.15936	  1.1284	-0.31118	0.091176
Trmt5	-0.01649	-0.42214	  0.2902	-0.11501	 0.49194	 0.26432	  1.0819	0.067528	-0.38409
Tmem43	 0.36851	-0.20284	 0.56889	0.058371	 0.63173	 0.47023	  1.2163	 0.30252	 0.22077
Ano4	 -0.06687	-0.066529	-0.066443	-0.066452	  0.12353	-0.066731	   1.1563	   0.4374	 -0.57372
Mgat4b	 -0.19786	-0.099306	 -0.17276	  0.14911	-0.009631	  0.25877	   1.1699	  0.60293	 -0.52137
Rbm20	 -0.38737	0.0068966	-0.023842	  0.34357	  0.33857	   0.1703	   1.0552	   0.4718	 -0.61326
Ube2e2	-0.041653	-0.042385	  -0.2582	-0.068256	  0.13935	  0.33182	    1.515	  0.92547	 -0.60663
Rpa2	  0.22148	  0.49841	 -0.16549	 -0.20817	-0.099254	  0.37826	   1.3244	  0.59182	 -0.54599
Bysl	-0.24348	 0.23987	-0.24303	-0.13701	 0.12841	-0.29153	  1.1632	 0.63597	-0.31597
Mrpl14	  -0.53075	  -0.12652	  -0.52184	-0.0095997	 -0.017062	  -0.51421	    1.0766	   0.40295	  -0.15912
Slc22a17	 -0.43868	  0.25305	 -0.73398	  0.39382	 0.056715	-0.020294	   1.1925	  0.52181	 -0.59941
Syne4	-0.68239	-0.30785	 0.20096	 0.59398	 0.10978	 0.21014	  1.2297	   0.349	-0.70346
Arhgap27os3	-0.20346	-0.53326	-0.43719	-0.11402	-0.13303	 0.23044	  1.3943	 0.47249	 0.10827
Snord12	 -0.40447	 -0.25392	 -0.15209	-0.092654	-0.097745	  0.25925	    1.492	  0.79123	-0.013613
Ccdc159	-0.44217	-0.46622	 -0.3484	-0.34053	-0.36567	0.098606	  1.4918	 0.93243	 0.23358
Hpn	  -0.67061	  -0.46286	  -0.12473	  -0.43553	  -0.24287	-0.0011058	    1.6373	   0.55266	   0.10808
S100a9	-0.42819	-0.31009	-0.29772	-0.49481	-0.54513	-0.20872	  1.3239	 0.86317	-0.12047
Mzf1	 -0.2606	-0.66909	-0.36257	-0.81976	 0.16776	  -0.241	   1.676	 0.59772	 0.14218
Fdxacb1	 -1.0977	-0.45968	0.033374	 0.04655	-0.59677	0.093831	  1.1991	 0.68503	-0.21513
