	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Adcyap1	         0	         0	         0	         0	         0	         0	-0.0003672	 0.0007765	0.00036575	0.00013574	    1.6195	5.5013e-05
Gm10421	          0	          0	          0	          0	          0	          0	-0.00047338	  0.0010013	 0.00047238	 0.00017533	      1.613	 7.1133e-05
Tex37	          0	          0	          0	          0	          0	          0	-0.00048748	  0.0010311	 0.00048657	  0.0001806	     1.6121	 7.3281e-05
Cylc1	          0	          0	          0	          0	          0	          0	-0.00069433	  0.0014692	 0.00069556	 0.00025823	     1.5991	 0.00010499
Nps	          0	          0	          0	          0	          0	          0	-0.00069433	  0.0014692	 0.00069556	 0.00025823	     1.5991	 0.00010499
Vmn2r25	          0	          0	          0	          0	          0	          0	-0.00068465	  0.0014487	 0.00068574	 0.00025458	     1.5997	  0.0001035
Olfr915	         0	         0	         0	         0	         0	         0	-0.0007043	 0.0014904	0.00070567	0.00026198	    1.5985	0.00010653
Olfr845	          0	          0	          0	          0	          0	          0	-0.00066606	  0.0014093	 0.00066691	 0.00024758	     1.6009	 0.00010064
Foxr2	          0	          0	          0	          0	          0	          0	-0.00072512	  0.0015345	  0.0007268	 0.00026983	     1.5972	 0.00010975
Gm597	          0	          0	          0	          0	          0	          0	-0.00062374	  0.0013197	 0.00062406	 0.00023167	     1.6036	 9.4127e-05
Mir7243	          0	          0	          0	          0	          0	          0	-0.00064001	  0.0013541	 0.00064052	 0.00023778	     1.6026	 9.6627e-05
Vmn1r23	          0	          0	          0	          0	          0	          0	-0.00058648	  0.0012407	  0.0005864	 0.00021768	     1.6059	  8.841e-05
Gm10637	          0	          0	          0	          0	          0	          0	-0.00085089	  0.0018011	 0.00085478	 0.00031738	     1.5891	 0.00012925
Olfr94	          0	          0	          0	          0	          0	          0	-0.00085089	  0.0018011	 0.00085478	 0.00031738	     1.5891	 0.00012925
Vmn1r39	          0	          0	          0	          0	          0	          0	-0.00085089	  0.0018011	 0.00085478	 0.00031738	     1.5891	 0.00012925
Hba-x	          0	          0	          0	          0	          0	          0	-0.00075876	  0.0016058	 0.00076097	 0.00028253	      1.595	 0.00011495
Svs1	          0	          0	          0	          0	          0	          0	-0.00078298	  0.0016571	  0.0007856	 0.00029168	     1.5935	  0.0001187
Mbl1	          0	          0	          0	          0	          0	          0	-0.00080879	  0.0017118	 0.00081188	 0.00030144	     1.5918	 0.00012271
Tex24	  -0.012228	  -0.005191	 -0.0012048	 -0.0073676	 -0.0030687	   -0.00351	-0.00068465	  0.0014487	 0.00068574	 0.00025458	     1.5997	  0.0001035
Usp17la	  -0.007398	 -0.0063402	 -0.0023541	 -0.0085169	 -0.0093839	 -0.0074121	-0.00071456	  0.0015121	 0.00071608	 0.00026585	     1.5978	 0.00010811
Ifna9	          0	          0	          0	          0	          0	          0	-0.00033951	  -0.017162	 0.00033802	 0.00012544	     1.5878	  -0.015448
Zbbx	   0.010154	   0.011223	  0.0098396	   0.011931	   0.010696	  0.0083334	-0.00048269	   0.001021	 0.00048175	 0.00017881	     1.6124	 7.2551e-05
Olfr522	          0	          0	          0	          0	          0	          0	-0.00071743	  0.0015182	 0.00071899	 0.00026693	     1.5633	    0.03445
Ccer1	 -0.0073903	 -0.0063325	 -0.0023463	 -0.0085091	 -0.0070188	 -0.0095833	-0.00040393	 0.00085424	   0.024626	   0.022627	     1.5706	 6.0578e-05
Khdc1c	          0	          0	          0	          0	          0	          0	-0.00071273	  0.0015082	 0.00071423	   0.040106	     1.5581	 0.00010783
Cbln4	  -0.017662	  -0.017375	  -0.016377	  -0.017992	  -0.016875	  -0.019199	-0.00098806	   0.002092	 0.00099504	 0.00036952	     1.5802	 0.00015069
Tmem92	   -0.02336	  -0.022824	  -0.023122	  -0.022692	   -0.02208	  -0.023692	-0.00083638	  0.0017703	 0.00083998	 0.00031189	     1.5901	 0.00012699
Olfr411	 -0.011527	 -0.013278	-0.0064831	 -0.009777	 -0.008347	 -0.015755	-0.0013393	 0.0028379	 0.0013575	0.00050431	    1.5567	0.00020643
A2m	 -0.0052548	  -0.001313	-0.00015729	-0.00062074	 -0.0019452	 -0.0023478	   0.017657	   0.023557	   0.018074	 0.00010953	     1.5652	  4.436e-05
Olfr957	         0	         0	         0	         0	         0	         0	  0.042384	 0.0015024	0.00071142	0.00026412	    1.5551	 0.0001074
Adam6a	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Mir466b-3	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Olfr1051	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Olfr996	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Taar3	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Gm833	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Gm5916	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Defb2	         0	         0	         0	         0	         0	         0	-0.0019176	 0.0040688	 0.0019657	0.00073069	    1.5158	0.00030104
Olfr466	-0.00026511	-9.7405e-05	 0.00049512	-0.00043396	 0.00019293	 -0.0013303	 -0.0019176	  0.0040688	  0.0019657	 0.00073069	     1.5158	 0.00030104
Gm4791	         0	         0	         0	         0	         0	         0	 -0.001845	 0.0039141	 0.0018886	0.00070196	    1.5211	0.00028897
Krtap26-1	         0	         0	         0	         0	         0	         0	 -0.001845	 0.0039141	 0.0018886	0.00070196	    1.5211	0.00028897
Olfr790	         0	         0	         0	         0	         0	         0	 -0.001845	 0.0039141	 0.0018886	0.00070196	    1.5211	0.00028897
Olfr971	         0	         0	         0	         0	         0	         0	 -0.001845	 0.0039141	 0.0018886	0.00070196	    1.5211	0.00028897
Vmn1r222	         0	         0	         0	         0	         0	         0	 -0.001845	 0.0039141	 0.0018886	0.00070196	    1.5211	0.00028897
Cst12	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Gm8633	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Igfbp1	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Mir297-2	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Mir690	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Olfr1356	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Olfr444	         0	         0	         0	         0	         0	         0	-0.0019962	 0.0042363	 0.0020495	 0.0007619	      1.51	0.00031419
Lcn5	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Olfr1089	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Olfr553	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Olfr782	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Olfr807	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Ssxb6	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Sult2a7	         0	         0	         0	         0	         0	         0	-0.0020815	 0.0044184	 0.0021408	0.00079592	    1.5036	0.00032855
Cyp2j13	         0	         0	         0	         0	         0	         0	-0.0067367	   0.00115	0.00054317	0.00020162	    1.5365	8.1855e-05
Gm11487	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Olfr1408	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Olfr311	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Olfr576	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Olfr998	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Vmn1r125	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Vmn1r227	         0	         0	         0	         0	         0	         0	-0.0015518	 0.0032897	 0.0015793	0.00058683	    1.5421	0.00024077
Gm5441	         0	         0	         0	         0	         0	         0	 -0.001504	 0.0031881	 0.0015293	0.00056822	    1.5454	0.00023301
Olfr1180	         0	         0	         0	         0	         0	         0	 -0.001504	 0.0031881	 0.0015293	0.00056822	    1.5454	0.00023301
Gm5477	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Olfr1134	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Olfr1145	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Sprr2g	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Vmn1r211	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Vmn2r117	         0	         0	         0	         0	         0	         0	-0.0016027	 0.0033981	 0.0016327	0.00060671	    1.5385	0.00024907
Vmn2r86	         0	         0	         0	         0	         0	         0	-0.0016571	 0.0035138	 0.0016899	  0.000628	    1.5346	0.00025796
Gm3259	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Gm765	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Olfr1281	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Olfr1431	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Olfr878	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Sult3a1	         0	         0	         0	         0	         0	         0	-0.0017153	 0.0036378	 0.0017513	0.00065084	    1.5305	0.00026752
Mir463	         0	         0	         0	         0	         0	         0	-0.0017778	 0.0037708	 0.0018173	0.00067543	     1.526	0.00027783
Olfr642	         0	         0	         0	         0	         0	         0	-0.0017778	 0.0037708	 0.0018173	0.00067543	     1.526	0.00027783
Olfr948	         0	         0	         0	         0	         0	         0	-0.0017778	 0.0037708	 0.0018173	0.00067543	     1.526	0.00027783
Gm14459	         0	         0	         0	         0	         0	         0	 -0.001377	  0.002918	 0.0013967	 0.0005189	    1.5542	0.00021249
Mir200c	         0	         0	         0	         0	         0	         0	 -0.001377	  0.002918	 0.0013967	 0.0005189	    1.5542	0.00021249
Olfr317	         0	         0	         0	         0	         0	         0	 -0.001377	  0.002918	 0.0013967	 0.0005189	    1.5542	0.00021249
R3hdml	         0	         0	         0	         0	         0	         0	 -0.001377	  0.002918	 0.0013967	 0.0005189	    1.5542	0.00021249
Gm6938	         0	         0	         0	         0	         0	         0	-0.0013393	 0.0028379	 0.0013575	0.00050431	    1.5567	0.00020643
Hbq1a	         0	         0	         0	         0	         0	         0	-0.0013393	 0.0028379	 0.0013575	0.00050431	    1.5567	0.00020643
Gm5868	         0	         0	         0	         0	         0	         0	-0.0013036	  0.002762	 0.0013205	0.00049053	    1.5592	0.00020072
Olfr58	         0	         0	         0	         0	         0	         0	-0.0013036	  0.002762	 0.0013205	0.00049053	    1.5592	0.00020072
Olfr958	         0	         0	         0	         0	         0	         0	-0.0013036	  0.002762	 0.0013205	0.00049053	    1.5592	0.00020072
Klk1b1	         0	         0	         0	         0	         0	         0	-0.0012698	 0.0026902	 0.0012854	0.00047749	    1.5615	0.00019531
Gm853	 -0.0041733	-0.00070334	 0.00040586	-8.5473e-06	  0.0014215	 -0.0053817	 -0.0014591	  0.0030927	  0.0014824	 0.00055077	     1.5485	 0.00022574
Mup10	         0	         0	         0	         0	         0	         0	-0.0014591	 0.0030927	 0.0014824	0.00055077	    1.5485	0.00022574
Olfr913	         0	         0	         0	         0	         0	         0	-0.0014591	 0.0030927	 0.0014824	0.00055077	    1.5485	0.00022574
Tcl1b5	         0	         0	         0	         0	         0	         0	-0.0014591	 0.0030927	 0.0014824	0.00055077	    1.5485	0.00022574
Olfr393	         0	         0	         0	         0	         0	         0	-0.0014169	 0.0030028	 0.0014383	0.00053435	    1.5514	0.00021892
Pax7	          0	          0	          0	          0	          0	          0	-0.00035685	 0.00075462	 0.00035539	 0.00013189	     1.5542	  -0.016244
Olfr322	         0	         0	         0	         0	         0	         0	-0.0010123	 0.0021435	 0.0010199	 -0.052293	     1.526	 0.0001545
Papl	          0	          0	          0	          0	          0	          0	-0.00057802	  0.0012228	 0.00057786	  -0.029569	     1.5226	   0.001092
Prrxl1	          0	          0	          0	          0	          0	          0	-0.00050303	   0.001064	 0.00050223	  -0.050699	     1.5603	 7.5651e-05
Ear1	 0.00034299	 0.00032008	 0.00058516	-0.00024626	   0.063843	  0.0004709	 -0.0017778	  0.0037708	  0.0018173	 0.00067543	      1.526	 0.00027783
C8a	          0	          0	          0	          0	          0	          0	-0.00020874	 0.00044128	   0.073508	 7.6943e-05	     1.5357	 3.1136e-05
Kif2b	          0	          0	          0	          0	          0	          0	-0.00061088	  0.0012924	   0.072286	 0.00022684	     1.5327	 9.2153e-05
Lyzl4os	          0	          0	          0	          0	          0	          0	-0.00061867	  0.0013089	   0.073193	 0.00022976	     1.5313	 9.3349e-05
Gm10635	          0	          0	          0	          0	          0	          0	-0.00055504	  0.0011742	   0.065779	 0.00020589	     1.5427	 8.3596e-05
Vmn2r99	          0	          0	          0	          0	          0	          0	-0.00056801	  0.0012016	   0.067292	 0.00021075	     1.5404	 8.5581e-05
Glipr1l2	         0	         0	         0	         0	         0	         0	-0.0010032	 0.0021241	  0.061529	0.00037528	    1.5187	0.00015307
Kcnk18	         0	         0	         0	         0	         0	         0	-0.0010465	 0.0022161	  0.064223	0.00039182	    1.5132	0.00015989
Gm5414	          0	          0	          0	          0	          0	          0	-0.00062009	  0.0013119	   0.037873	  0.0002303	     1.5666	 9.3567e-05
Krtap24-1	          0	          0	          0	          0	          0	          0	-0.00081751	  0.0017303	   0.050031	 0.00030474	     1.5421	 0.00012406
Olfr1024	          0	          0	          0	          0	          0	          0	-0.00083148	  0.0017599	   0.050893	 0.00031003	     1.5403	 0.00012623
Olfr310	          0	          0	          0	          0	          0	          0	-0.00075423	  0.0015962	   0.046127	 0.00028082	       1.55	 0.00011425
Oas1d	-0.0099433	  -0.01088	-0.0083804	-0.0096214	 -0.009416	 -0.010551	 -0.000514	 0.0010873	  0.060985	0.00019052	      1.55	7.7325e-05
Cst11	          0	          0	          0	          0	          0	          0	-0.00075356	  0.0015948	   0.088843	 0.00028056	     1.5073	 0.00011414
Dact2	          0	          0	          0	          0	          0	          0	-0.00071985	  0.0015233	    0.08494	 0.00026784	     1.5133	 0.00010893
Serpinb3b	          0	          0	          0	          0	          0	          0	-0.00083165	  0.0017603	   0.097866	 0.00031009	     1.4933	 0.00012626
Hrasls	         0	         0	         0	         0	         0	         0	-0.0011736	 0.0024858	  0.072146	0.00044047	     1.497	0.00017998
Nkx2-9	         0	         0	         0	         0	         0	         0	-0.0012028	  0.002548	  0.073978	0.00045172	    1.4932	0.00018463
Vmn2r58	         0	         0	         0	         0	         0	         0	-0.0013003	 0.0027551	  0.080092	0.00048927	    1.4806	0.00020019
Cyp4f15	  -0.030159	   -0.03007	  -0.030066	  -0.030169	  -0.029953	  -0.030126	-0.00049894	  0.0010554	   0.059224	  -0.025483	      1.527	 7.5028e-05
Lim2	 -0.019458	 -0.018673	 -0.018995	 -0.018541	 -0.019209	 -0.018143	  0.033357	 0.0011836	  0.066297	0.00020755	     1.508	8.4276e-05
Neurog3	 -0.023654	 -0.022597	 -0.018651	 -0.019076	 -0.017646	 -0.018087	-0.0012028	  0.002548	  0.073978	0.00045172	    1.4932	0.00018463
Pramef12	 -0.031282	 -0.031706	 -0.029944	 -0.030965	 -0.032095	 -0.031137	-0.0012336	 0.0026134	  0.075907	0.00046356	    1.4892	0.00018954
Themis3	   0.017023	  -0.036521	  -0.036059	   0.023687	  -0.036234	 -0.0061829	-0.00079096	   0.001674	   0.048392	  0.0002947	     1.5454	 0.00011994
Krt72	          0	          0	          0	          0	          0	          0	-0.00095809	  0.0020285	 0.00096433	   0.054137	     1.4822	   0.046319
Magea10	         0	         0	         0	         0	         0	         0	-0.0011514	 0.0024388	  0.001163	  0.065299	    1.5046	0.00017647
Obox6	          0	          0	          0	          0	          0	          0	-0.00062842	  0.0013296	   0.038384	   0.068823	      1.497	 9.4846e-05
Olfr1353	  -0.028587	  -0.028382	  -0.027599	  -0.028908	  -0.028013	  -0.029742	-0.00088374	  0.0018708	  0.0008883	   0.096367	      1.491	 0.00013437
Syt14	 -0.041021	 -0.039963	 -0.035977	  -0.04214	  0.060397	 -0.038283	-0.0013393	 0.0028379	 0.0013575	0.00050431	    1.5567	0.00020643
Barx1	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
C2cd4a	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Fam47c	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Gpx6	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Olfr1295	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Vmn1r194	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Vmn1r26	         0	         0	         0	         0	         0	         0	-0.0023883	 0.0050736	  0.002472	0.00091939	    1.4801	0.00038094
Defa25	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Gm13539	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Ifi44l	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Mir1957	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Olfr1318	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Olfr133	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Olfr66	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Olfr828	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Prl8a6	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Speer4c	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Tmem174	         0	         0	         0	         0	         0	         0	-0.0025119	 0.0053379	 0.0026069	0.00096968	    1.4703	 0.0004024
Gabra6	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Gm10319	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Grip1os2	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Lcn8	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Olfr1254	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Olfr150	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Olfr1532-ps1	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Olfr304	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Olfr726	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Serpina3j	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Taar7f	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Vmn2r106	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Vmn2r4	         0	         0	         0	         0	         0	         0	-0.0022764	 0.0048344	 0.0023506	0.00087413	    1.4888	0.00036169
Gykl1	         0	         0	         0	         0	         0	         0	-0.0021746	 0.0046169	 0.0022408	0.00083317	    1.4966	0.00034431
Olfr117	         0	         0	         0	         0	         0	         0	-0.0021746	 0.0046169	 0.0022408	0.00083317	    1.4966	0.00034431
Olfr1339	         0	         0	         0	         0	         0	         0	-0.0021746	 0.0046169	 0.0022408	0.00083317	    1.4966	0.00034431
Olfr291	         0	         0	         0	         0	         0	         0	-0.0021746	 0.0046169	 0.0022408	0.00083317	    1.4966	0.00034431
Cldn13	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Cypt12	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Cypt15	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Dydc1	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Gm16063	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Il1f10	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr1056	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr1387	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr160	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr186	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr406	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Olfr772	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Rgn	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Taar2	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
Taar7a	         0	         0	         0	         0	         0	         0	-0.0026492	 0.0056317	 0.0027576	 0.0010259	    1.4591	0.00042648
