	Hh_v_GF_CD11b-CD103-	Hh_v_GF_CD11b-CD103+	Hh_v_GF_CD11b+CD103-	Hh_v_GF_CD11b+CD103+	Hh_v_GF_Monocyte	Hh_v_GF_Macrophage	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage	SFB_v_GF_CCR6-ILC3	SFB_v_GF_CCR6+ILC3	SFB_v_GF_SCA+CCR6+ILC3	DKO_v_JAX_3day_CCR6-ILC3	DKO_v_JAX_3day_CCR6+ILC3	DKO_v_JAX_eday_SCA+CCR6+ILC3
Usp15	  -0.17899	 -0.030654	   0.19409	  -0.17821	 -0.056966	0.00055868	  0.056442	 0.0031143	     0.114	 -0.026999	  -0.32389	 -0.035886	 -0.069005	   0.69272	  -0.01568	 -0.077159	  -0.16839	-0.0019452
Entpd4	0.00020994	   0.14883	  0.048892	 -0.050817	  0.037533	 -0.085916	  0.077684	  0.077261	  0.078067	  0.077736	   0.07778	  0.077497	-0.0034199	   0.47982	  -0.46494	  -0.19366	  -0.23764	0.00056716
Trim33	    0.1055	 -0.077751	-0.0084802	 -0.024666	 -0.086515	  -0.26301	  0.092129	 -0.017841	 0.0058098	  0.046998	  0.083237	   0.19793	   0.11064	   0.52771	  -0.14909	  -0.40658	  -0.25132	  0.029254
Bptf	    0.2544	 -0.022796	  -0.11994	  0.093461	   0.23731	  -0.19002	  -0.11805	-0.0005673	 0.0052622	 -0.048114	 -0.014029	  -0.12185	  -0.10458	   0.39222	     0.136	  0.017681	  0.058042	 -0.062963
Ppp1r12a	  0.27575	 0.033109	-0.035497	-0.092354	 0.057657	-0.062629	 -0.23854	-0.007146	-0.060763	 -0.08184	-0.019575	 -0.10496	  0.22911	  0.26626	  0.33111	 0.066476	 -0.20317	 0.052267
Cul1	  0.015816	 -0.026294	   0.13739	 -0.083917	-0.0069684	 -0.077034	  -0.11763	  -0.18248	 -0.062727	  -0.11417	  -0.19904	   0.03515	  -0.13789	   0.56451	   0.46145	   0.13699	  -0.17098	 -0.080829
Glrb	 -0.046217	 0.0002973	 -0.060102	4.5468e-05	  -0.12297	 0.0003008	  0.059482	 -0.077695	 -0.077644	 -0.077939	 -0.077815	 -0.077571	 -0.001267	   0.29824	   0.42355	0.00047329	  -0.14255	  -0.11846
Tlx1	0.00064158	 0.0043122	 0.0016338	0.00061152	  0.088133	 -0.080874	 -0.075129	  -0.07174	 -0.067727	  0.027157	 -0.072203	 -0.074808	-0.0037948	   0.30725	   0.44805	   0.23694	  0.009697	  -0.36567
Mir3091	 0.00096901	  0.0086246	   0.085078	   -0.14032	-0.00038905	  0.0016836	   -0.12485	   0.089513	   -0.12455	  -0.059664	   0.092903	   -0.12453	    0.19301	    0.58561	    0.35639	  0.0011996	   0.008045	   -0.28679
Sft2d2	 -0.046593	-0.0031938	  -0.10898	  -0.25345	 -0.014773	  0.062869	    0.1287	 -0.050884	  -0.14576	 -0.014923	 -0.073379	  -0.11105	   0.41091	   0.49018	   0.10736	  -0.10274	 -0.045854	  -0.19804
Epc1	   0.17669	  0.090428	  0.066275	   0.13285	  -0.20446	  0.013917	  -0.21643	 -0.084521	  -0.16949	 -0.083521	   0.14603	 -0.059306	  -0.21851	   0.38955	   0.17698	-0.0021978	 -0.064352	  0.024185
Ppm1b	  0.26551	 0.025102	0.0045517	 -0.19431	 -0.25294	  0.18892	   0.0157	 -0.10543	-0.097119	 0.021959	   0.1137	  0.25057	  -0.1208	  0.45156	  0.22171	 0.057482	 0.014862	  -0.0138
Akap11	 -0.24676	 -0.18569	-0.068587	 -0.39588	 -0.38841	-0.091469	  0.15205	-0.020567	-0.079436	-0.099855	 0.082823	 0.060839	  0.35148	  0.44554	   0.4731	-0.025532	 0.091823	  0.16784
Son	 -0.19972	 -0.18568	 -0.14861	 -0.40086	 -0.42586	 -0.32511	 0.074936	0.0028527	 -0.04317	  0.04516	 0.080299	-0.018365	  0.25262	   0.3055	  0.41231	 0.052953	 -0.30996	  0.12751
Hectd1	-0.06167	-0.12368	-0.10051	  -0.267	-0.12486	-0.25672	0.083548	  0.1756	 0.13208	0.094146	0.034943	0.001334	 0.16643	 0.49119	 0.26868	-0.10928	-0.17041	0.036147
Tbk1	  -0.01357	  0.018442	-0.0058718	  -0.38962	  -0.19275	  -0.26633	  -0.12867	 -0.024965	  0.041222	  0.028558	  0.067322	 0.0069734	   0.48173	   0.37346	   0.36938	  0.040512	  -0.01058	    0.1354
Ankrd17	-0.058382	0.0042165	  -0.1138	-0.040661	  -0.2847	 -0.11644	 0.087479	 0.032753	 0.061549	 0.026104	  0.12392	 0.082618	   0.2189	   0.7642	 0.090152	-0.043397	-0.015681	 0.035407
Spcs2	-0.020027	 -0.14074	  -0.2485	 -0.27313	   -0.451	 -0.16439	-0.032178	 0.062506	 0.032228	 -0.12093	 0.016876	  0.11546	  0.17192	   0.8788	 0.016158	 0.098211	 -0.20623	  0.10355
Celf2	 -0.17677	-0.068796	 -0.19866	 -0.17452	 -0.65436	 -0.22008	  0.23476	-0.031806	-0.022082	 0.026201	-0.097148	  0.21579	 0.054545	  0.60892	  0.28683	   0.1799	-0.051833	  0.18224
Ggnbp2	  0.01487	 -0.19869	 -0.24683	 -0.53724	   0.0465	 -0.17493	-0.024975	  0.13061	 0.029588	 0.031058	 0.071255	-0.018619	 0.090567	  0.54878	  0.13679	 -0.10328	  0.28238	-0.015154
Rsrc2	 0.058198	 -0.17641	 -0.16724	  -0.2996	 -0.32118	  -0.2424	  0.11903	-0.084528	  0.24147	   0.2525	 0.088789	 -0.11425	  0.19086	  0.49131	 -0.13154	 -0.13922	  0.23074	 0.041422
Immt	  -0.35778	 -0.081235	 -0.066633	 -0.014805	  -0.21506	   0.15392	 -0.031621	  -0.15618	 -0.073984	-0.0068841	 -0.071505	 -0.096434	  -0.11233	   0.67177	   0.33677	   0.16005	  -0.24293	  0.090884
Ndufs1	-0.086987	-0.080013	  0.13813	  -0.1476	 -0.25809	 0.053659	 0.047203	 -0.24331	 -0.17384	  0.29424	-0.012093	  0.22789	 -0.10532	  0.51477	  0.18674	  0.26992	 0.017356	   0.2158
Naa25	  -0.42094	    0.1001	  -0.19798	  -0.07332	  -0.32075	  -0.21547	  0.056127	 -0.096434	  0.078813	    0.1688	  -0.46121	   0.12114	   0.14589	   0.63918	   0.35215	   0.14408	-0.0037973	   0.15784
Cd47	 0.072757	 -0.30983	  -0.1088	-0.084818	 0.071042	  0.17068	  0.17003	 0.080377	  0.18832	  0.08104	  0.18506	0.0041882	  0.22662	  0.27526	 -0.12002	  0.18797	 -0.11266	  0.20073
Psenen	 -0.11158	-0.074736	-0.078582	-0.074437	  0.23536	  0.31075	 0.036556	 0.080553	  0.35646	  0.35678	   0.2563	  0.17965	    0.134	  0.20738	  0.11228	  0.21874	  0.14142	  0.44049
Larp1	 -0.098561	  0.080652	  -0.11788	    0.1192	  0.038327	  0.076343	    0.1011	   0.14953	    0.1338	  0.095865	   0.26064	-0.0062373	   0.13812	     0.318	   0.17969	   0.18822	 -0.089773	   0.20274
Ube2i	  -0.21416	   0.19764	  -0.28267	   0.10826	 -0.059997	   0.19604	  0.039457	 -0.029527	   0.23768	   0.10705	   0.25554	-0.0065008	   0.19649	   0.14262	   0.17151	   0.33383	  -0.27576	 0.0055352
Irak2	-0.016292	 -0.12958	 0.070739	  0.15498	   0.1677	 0.096518	 0.073853	 -0.34174	  0.25506	  0.29886	  0.35376	   0.2216	  0.19279	  0.41727	 -0.11506	   0.1948	 0.038926	  0.20504
Nek7	  0.040618	  0.081802	   0.10366	  -0.22069	0.00086345	  0.036069	   0.33155	  -0.26216	   0.15227	   0.22077	   0.23256	   0.12842	   0.25233	   0.54163	  0.069331	  0.075425	 -0.069814	   0.17126
Ctdspl2	 -0.32248	 0.039719	  0.25881	 -0.44818	 -0.26279	-0.011543	  0.10798	-0.040248	  0.30486	  0.10014	  0.34595	  0.38409	-0.023453	  0.30757	 0.043293	 0.035921	-0.028312	  0.10825
Fbxl3	 0.031634	0.0017131	  0.18517	 0.069864	 -0.12012	 -0.15261	  0.14977	 0.057804	  0.44601	  0.34444	  0.24747	  0.32778	 0.064785	  0.60099	  0.30848	 -0.17691	 0.088213	 -0.01923
Usp7	 -0.12042	-0.092993	-0.034308	 -0.10606	 -0.20108	-0.061957	-0.012839	 -0.12577	   0.3018	  0.18119	 0.058676	  0.14112	 0.095194	  0.47743	  0.20017	 -0.22015	  0.16686	 0.047286
Vdac3	  -0.32127	 -0.013401	 -0.080065	  -0.12275	-0.0056359	   0.11373	   0.18417	 -0.034784	   0.15891	   0.15202	   0.21864	   0.37761	   -0.1094	    0.5342	 -0.042069	  -0.29643	   0.16253	  0.059795
Mir6986	 -0.098987	 0.0043122	 0.0016338	0.00061152	-0.0012639	  0.004474	  0.072174	  0.076076	  0.080062	  0.076768	   0.27467	  0.077757	-0.0058461	   0.57861	 0.0068128	 0.0025485	  0.023106	   0.43223
Nrd1	-0.038115	  -0.1758	  0.11124	 -0.20293	-0.086451	 -0.14649	 0.062286	  0.14015	  0.15021	 0.062202	  0.42756	  0.14683	0.0013672	  0.34375	  0.25492	 -0.12989	 0.039003	  0.19519
Anp32a	 -0.19926	 -0.20426	-0.043783	-0.036352	 -0.42826	 -0.24043	 0.032083	 0.052516	 0.052179	  0.10658	  0.29721	  0.03928	  0.42865	   1.0075	  0.33875	   -0.211	-0.054871	 0.097383
Rbm26	-0.052688	 -0.19043	-0.066414	 -0.15425	-0.094361	 -0.23272	 0.064859	  0.12791	  0.12702	  0.17475	  0.24992	 -0.26927	  0.17642	   1.1825	  0.30484	-0.061256	 -0.15169	 0.060568
Uggt1	 -0.29946	-0.086397	 -0.13912	-0.077487	 -0.26535	 -0.31931	 -0.14401	  0.21004	0.0041477	-0.015254	   0.3521	-0.037421	0.0010063	   1.0987	 0.050249	 0.021637	 -0.17758	  0.24273
Dido1	 0.073701	 -0.15072	  -0.1607	-0.061742	-0.013292	 -0.45604	-0.021982	  0.28948	 0.054469	  0.25334	  0.32924	  0.23883	 -0.10417	  0.86271	  0.33543	 -0.10428	-0.038029	 0.071447
Mdm2	   0.17838	 -0.021963	  0.012023	  -0.29562	 -0.058028	  -0.13502	   0.12144	 -0.077697	 0.0033139	-0.0025685	   0.44436	   0.13987	    0.1538	   0.84209	   0.36399	  -0.11715	   0.23693	  0.083551
Amfr	-0.081488	   0.2525	-0.083812	 0.084632	 -0.52007	  0.22357	  0.13179	   0.1406	-0.015557	 0.079114	  -0.1932	0.0032995	 0.020929	  0.50354	 0.074485	-0.067168	  0.53336	 -0.15178
Rad21	  -0.19846	 -0.060368	  0.031417	  0.073617	  -0.33285	  0.051626	   0.16666	   0.05406	  0.033214	  -0.11301	 -0.050496	  0.070439	   0.18104	    0.6159	  0.027214	-0.0090295	   0.30951	 -0.096045
Kif2a	 -0.16821	  0.27488	 -0.12049	-0.088045	 -0.21941	 0.061459	  0.31147	 0.095371	   0.2334	-0.057812	-0.065357	 0.010034	  0.26315	  0.87946	  0.10137	 -0.10468	  0.14986	 0.042691
Metap2	 -0.17647	 0.073899	 -0.21042	 -0.35226	 -0.35786	  0.11109	  0.29394	 0.015679	  0.46933	0.0061266	  0.13699	  0.17005	  0.20477	  0.71173	-0.040411	-0.040432	  0.22395	-0.097094
Exoc4	-0.0042835	   0.29472	   0.25646	   -0.1344	  -0.25257	-0.0090894	   0.21985	 -0.079272	  0.088634	 -0.082901	 -0.077117	  -0.14396	 -0.024819	    1.0507	   0.22096	  -0.27214	  -0.11065	  -0.10705
Ggps1	-0.0045602	 -0.027892	   0.13684	 -0.060469	  -0.65466	-0.0034522	  0.077268	   0.29015	   0.12054	  0.017757	  -0.20953	   0.20092	  -0.27086	   0.95092	  0.070916	  0.046583	   0.14568	  0.097562
Gm12887	 0.00047014	  0.0008542	 0.00033424	 0.00014385	   -0.48148	 0.00087142	    0.10208	    0.10234	    0.10322	    0.10251	     0.1002	    0.10268	-0.00043687	      1.184	    0.26733	  0.0001617	    0.16539	  6.558e-05
Ipo5	 -0.31311	-0.072694	 -0.11249	 -0.11769	 -0.33947	 -0.12814	-0.011492	-0.086671	 0.039537	  0.25041	 0.037554	  0.34992	  0.31693	   1.1179	 -0.21181	 0.016559	   0.5269	  0.12245
Mob1a	  -0.18204	-0.0080329	    0.2036	  0.082533	  -0.19583	  0.082409	      0.24	  0.028752	   0.19927	   0.17261	  0.038137	   0.30545	   0.12237	    1.0488	  -0.05821	 -0.073099	   0.19906	   0.39786
Rnf7	 0.057823	  0.12617	  0.12788	 -0.50286	 -0.48595	  0.40408	   0.2391	  0.38179	 0.027292	  0.14412	-0.070156	  0.16554	 0.088126	  0.92952	 -0.18393	  0.33315	  0.38726	-0.034646
Tmed2	 -0.24378	  0.10774	-0.021001	 -0.48849	 -0.18422	 0.046043	  0.24194	  0.38427	  0.14526	  0.16098	 -0.20466	 0.084965	 -0.14804	  0.94221	-0.056328	-0.099782	  0.33151	  0.16842
Ccnk	  0.14915	  0.24108	0.0084989	 -0.11614	-0.039427	  0.28735	-0.038264	   0.1009	  0.22202	    0.269	  0.19627	  0.12642	  0.50932	   1.1849	 0.071422	-0.047347	  0.17128	 -0.17431
Zdhhc5	 0.084528	   0.2569	 0.074455	  -0.1257	-0.029577	-0.037073	-0.085029	  0.28864	  0.40784	  0.25731	  0.14824	 0.041714	  0.22535	  0.95759	  0.10899	 0.024973	  0.14496	 0.011041
G3bp1	 -0.16866	 0.071096	  0.17377	 -0.11398	0.0024838	  0.16073	 -0.10345	-0.079622	  0.33447	  0.17701	  0.28228	  0.25216	  0.30384	   0.8111	 0.012185	 0.054101	  0.38811	-0.087548
M6pr	 0.089063	-0.029411	-0.089232	 -0.35682	 0.072224	 0.055592	 0.099007	 0.072446	  0.26549	  0.19324	 0.099741	  0.28426	  0.22155	  0.99793	-0.073257	 -0.15622	-0.088281	 0.014898
Tmf1	  0.29853	  0.16349	-0.069934	 -0.20509	  0.29277	 -0.26368	  0.33073	  0.22806	  0.28286	  0.34935	  0.19344	 0.055332	-0.024741	  0.90719	 0.059142	 -0.11005	 -0.18727	 0.031414
Sbds	  0.48979	 0.078974	  0.22479	-0.074162	  0.13788	   0.2555	  0.18821	  0.11988	  0.20118	  0.24979	  0.21556	  0.45516	  0.17195	   1.1033	  0.26609	 0.025775	  0.20795	 -0.39396
Clp1	   0.41328	  -0.20651	   0.43405	  -0.18417	   0.13059	  0.032043	 -0.080026	   0.19366	    0.1777	   0.27768	   0.12171	    0.5521	 0.0075161	   0.41795	 -0.043344	 -0.052731	 -0.049622	-0.0018012
H3f3a	 0.011758	 -0.17209	  0.28231	 -0.24438	 0.077913	  0.18381	  0.28551	  0.10928	  0.13026	  0.25499	  0.10355	  0.44275	  0.23272	  0.67445	 -0.07201	  0.05409	  0.19734	-0.096459
Abhd2	  0.40221	-0.077704	  0.10974	  0.01133	-0.017167	  0.11559	  0.58368	  0.30454	 0.039388	  0.24154	  0.26484	  0.53325	 0.041311	  0.22086	  0.11099	-0.093457	 -0.10799	  0.15778
Uhrf1bp1l	  0.29985	-0.010038	 0.076134	 -0.10092	  0.14935	 0.034353	  0.46313	  0.22437	  0.46246	  0.28665	  0.26623	  0.39682	 0.097117	  0.10036	  0.10472	 0.054041	 -0.31899	  0.17308
Smg8	  0.20257	 0.016001	   -0.177	0.0047917	 0.069296	 0.022097	  0.40259	  0.17371	    0.196	  0.24441	  0.26544	  0.49262	 0.027636	-0.016602	  0.42118	  0.17904	 -0.31595	-0.064112
Pnrc1	  0.44883	  0.35436	  0.21803	  0.14345	  0.26018	  0.19523	  0.51148	  0.11762	  0.40283	  0.35658	  0.39662	  0.29366	 0.026642	  0.28677	 -0.06032	  0.11778	 -0.36834	-0.092854
Tnrc6b	   0.31843	   0.27145	   0.33058	   0.15959	    0.1906	0.00071614	   0.39409	   0.29483	   0.26603	  0.060252	   0.37924	    0.2028	  -0.01907	   0.15343	   0.20721	 -0.052098	  -0.17417	   0.12189
Srp72	   0.43584	   0.19085	  -0.04751	  0.090659	 -0.045622	-0.0050546	   0.37996	   0.10815	   0.60348	   0.38747	   0.17327	   0.23335	  0.061151	   0.44747	-0.0041297	   0.08812	  -0.14526	 0.0076408
Whsc1l1	  0.39708	 -0.13687	 0.028218	  0.27254	 -0.17808	 -0.22507	  0.41882	-0.024504	   0.3364	  0.36705	  0.29437	  0.27896	-0.092947	   0.2683	  0.13663	 0.037582	-0.015848	 0.059658
Cdk13	   0.21563	  0.071791	  0.097071	   0.17769	  0.043127	   0.04585	   0.30356	  0.052198	   0.25369	   0.17248	   0.37967	   0.18303	  -0.24427	   0.30839	  0.081495	   0.14449	  -0.32189	-0.0059453
Eif4g2	  0.22863	  0.21721	  0.02087	  0.14246	 -0.04566	-0.036614	  0.18785	  0.10438	  0.31365	  0.19806	  0.09313	 0.084397	 -0.01813	  0.32233	 0.084074	0.0079565	 -0.29341	 0.082173
Rac1	   0.027532	   0.097396	-0.00034497	    0.11122	    0.10312	    0.14174	     0.1737	   0.062562	    0.19829	    0.12836	    0.15576	   0.062065	   0.027765	    0.31981	   0.045134	   0.064904	   -0.45914	     0.2603
Trim24	  0.1157	  0.0374	-0.13861	 0.24362	 0.17391	0.078619	 0.34619	0.066101	0.056702	  0.1576	 0.28743	0.097263	-0.19518	 0.56619	 0.13842	-0.15581	-0.21227	0.021208
Mapk1	 -0.10041	 0.092887	 0.092274	-0.052988	  0.14634	  0.14219	  0.22511	  0.26425	  0.19582	  0.18172	  0.16128	  0.27341	-0.060715	  0.42897	 -0.02021	-0.085182	 -0.15179	-0.014926
Mbd2	  0.031022	-0.0058484	  0.099121	  -0.12937	  0.088187	  0.089397	   0.29566	   0.35723	   0.34944	   0.29518	   0.34641	   0.30138	 -0.083116	   0.26615	  0.026321	  -0.14064	  -0.49565	 -0.031951
Ncoa2	    0.223	 -0.10723	  0.19623	  0.11256	  0.17642	 0.041095	  0.34194	 0.094322	 0.048996	 0.067302	  0.22356	 0.035155	-0.082754	  0.50459	 -0.25849	 -0.06149	 -0.43034	 -0.21773
Ankrd11	  0.29524	 0.016453	 -0.10922	   0.1019	 -0.15653	 -0.25191	  0.38284	  0.44555	  0.31755	  0.29352	  0.43034	  0.34632	 0.051188	  0.61152	-0.075384	0.0056891	-0.066143	 -0.05082
Kdm3a	  0.11742	-0.067746	 0.049277	   0.1936	  -0.1402	 -0.10239	  0.21808	   0.3236	  0.18659	  0.21874	  0.23197	  0.19084	 0.010033	  0.81188	  0.25595	  0.13068	 0.020917	-0.099013
Epc2	   0.1635	  0.30091	 -0.20325	 0.068184	  -0.1653	0.0093051	  0.36808	  0.31447	  0.16413	  0.13876	  0.38578	  0.10185	  0.31562	  0.85387	 0.092133	 -0.21346	 -0.19667	    -0.14
Huwe1	  0.21462	 0.032555	-0.071384	-0.034269	 0.030069	 -0.19509	 0.098466	  0.20246	  0.10408	 0.086059	   0.3869	  0.35135	  0.26941	  0.45646	  0.30634	  0.08421	 -0.29308	-0.020782
Ino80d	  0.090204	  0.062732	 -0.068514	   0.11594	-0.0041241	  -0.20414	 -0.028261	   0.24421	   0.17786	 -0.050131	   0.28061	  0.084824	   0.17629	     0.416	  0.086161	  0.028746	    -0.247	 -0.096833
Rbm39	   0.1586	 0.087008	 0.085391	 -0.16222	 -0.21131	 -0.23293	   0.1862	 0.076662	  0.20326	 0.065167	  0.22673	  0.29191	  0.15133	  0.55081	  0.24246	-0.021138	-0.049393	 0.037106
Senp2	  0.19239	  0.20731	 0.066554	 -0.14748	 -0.22545	 -0.30105	  0.13754	   0.0821	  0.41085	-0.027346	   0.2587	  0.54846	  0.21556	  0.61739	  0.20604	-0.086638	 -0.21317	 -0.12369
Ccnt1	  0.24228	 0.081733	 -0.42158	 0.065332	 -0.19166	 -0.16645	-0.018539	-0.043743	  0.08254	 0.050878	  0.26734	 0.080074	-0.079946	  0.59237	 0.022082	 -0.13605	  -0.2152	0.0034564
Cd82	   0.15618	   0.41914	   0.29002	-0.0041883	  0.059447	   0.25849	   0.14253	   0.26363	   0.22069	  0.088032	  0.011437	    0.4889	   0.15952	   0.76408	    -0.226	  0.084398	  -0.25221	   0.25728
Chmp4b	 0.086979	   0.2073	  0.24551	   0.0782	  0.19615	   0.1235	  0.24745	  0.26245	   0.2739	  0.30558	  0.39644	  0.51489	 0.026801	  0.89784	-0.051703	  0.02476	 -0.28105	  0.15834
Ist1	  0.12129	  0.17907	 0.053737	-0.086994	-0.073546	 0.050869	 0.059511	  0.19672	  0.29615	  0.23181	  0.35756	  0.31465	 0.088884	  0.68187	 -0.10019	  0.35448	 -0.44917	 -0.10385
Iqgap1	  0.21149	-0.081135	 0.036058	 0.054381	 0.095889	-0.015956	   0.1027	 0.035198	  0.08756	  0.24909	  0.25629	  0.33691	  0.22646	  0.86787	  0.21343	-0.051022	 -0.44244	 0.064205
