	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Zfp454	0.11515	0.11527	0.11572	0.11433	0.11536	0.11518
Lgi1	0.11416	0.11466	0.11529	 0.1141	0.11505	  0.115
Wfdc15b	0.11485	0.11498	0.11543	0.11388	 0.1152	0.11499
Gm101	  0.115	0.11481	0.11591	0.11555	0.11521	0.11564
Igsf1	0.11486	0.11509	 0.1151	0.11517	0.11428	0.11526
Pinlyp	0.11484	0.11484	0.11497	0.11506	0.11446	0.11475
Pbsn	0.11498	0.11511	0.11429	0.11519	0.11532	0.11499
Clec18a	0.11458	0.11469	0.11528	0.11472	0.11505	0.11392
Fut4-ps1	0.11476	0.11489	0.11534	0.11469	0.11511	0.11391
Vmn2r19	0.11469	0.11482	0.11528	0.11427	 0.1149	0.11418
Mir6896	0.11441	0.11455	0.11456	0.11433	0.11478	0.11381
Olfr108	0.11446	0.11459	0.11486	 0.1145	0.11482	 0.1136
Zdhhc11	0.11422	0.11474	0.11544	0.11507	0.11521	0.11452
Clvs2	0.11446	 0.1135	0.11506	0.11469	0.11482	0.11447
Hs3st5	0.11449	0.11345	 0.1149	0.11471	0.11485	 0.1148
Dct	0.11371	 0.1142	0.11397	0.11429	0.11371	0.11438
Gsdma2	0.11394	0.11369	0.11377	0.11432	0.11446	0.11425
Pla2g10os	0.11326	0.11394	0.11354	0.11382	0.11418	0.11396
Hoxd3	 0.1139	0.11342	0.11454	0.11395	0.11353	0.11407
Wisp2	0.11416	0.11451	0.11498	  0.114	 0.1139	0.11469
Wt1	0.11397	0.11436	0.11463	0.11336	0.11459	0.11454
Cacng1	0.11868	0.11871	 0.1189	0.11879	0.11842	0.11875
Msx1	0.11887	0.11855	0.11922	0.11868	0.11886	0.11905
Cacng4	0.11854	0.11873	0.11827	0.11878	0.11886	0.11872
Olfr267	0.11851	0.11858	0.11873	0.11869	0.11877	0.11806
Ftcd	0.11811	0.11805	0.11842	0.11755	0.11834	0.11825
Mir377	0.11835	0.11843	0.11872	0.11786	0.11834	0.11839
Rtp1	0.11826	0.11839	0.11839	  0.118	0.11843	0.11828
Igsf21	0.11796	0.11805	0.11768	0.11778	 0.1182	  0.118
Spata31d1c	0.11805	0.11799	0.11773	0.11806	0.11814	0.11826
Slco1c1	0.11794	0.11799	 0.1181	0.11803	0.11796	0.11804
Il13ra2	0.11841	0.11819	0.11878	0.11855	0.11799	0.11855
Krt76	0.11848	0.11856	0.11877	0.11861	0.11794	0.11857
Rad51ap2	0.11819	0.11827	0.11849	0.11833	0.11757	0.11838
Dll3	0.11907	0.11921	0.11931	0.11911	0.11934	0.11877
Psca	0.11906	0.11913	0.11939	0.11863	0.11926	0.11892
Epx	0.11923	0.11933	0.11913	0.11908	0.11941	 0.1193
Saa1	0.11932	0.11934	0.11939	0.11927	0.11932	0.11932
Kcnb2	0.11909	0.11893	0.11941	0.11921	0.11866	0.11926
Nudt10	0.11927	0.11903	0.11959	0.11939	0.11893	0.11943
Tfap2b	0.11923	 0.1193	0.11955	0.11935	0.11879	0.11921
Krt36	0.11963	0.11951	0.11946	0.11974	0.11981	0.11957
Chrd	0.12142	0.12135	0.12143	0.12143	0.12142	 0.1214
Dlx3	0.12154	0.12164	0.12159	0.12149	 0.1217	0.12161
Epha10	0.12139	0.12173	0.12115	0.12098	0.12146	 0.1218
Hoxd11	0.12191	0.12194	  0.122	0.12192	0.12199	0.12201
Rdh16	0.12184	 0.1219	  0.122	0.12178	0.12179	 0.1219
Isl1	0.12206	0.12208	0.12225	0.12213	0.12207	0.12214
Slc5a8	0.12214	 0.1221	0.12224	0.12209	0.12214	0.12211
Chrdl2	0.12251	0.12247	0.12255	0.12248	0.12246	0.12255
Vip	0.12247	0.12232	 0.1225	 0.1225	0.12253	0.12252
Reg2	0.12261	0.12263	0.12263	 0.1225	0.12267	0.12262
Cyp2c55	 0.1229	 0.1229	0.12301	0.12296	0.12292	0.12297
Susd5	 0.1228	0.12279	0.12285	0.12276	0.12278	0.12285
Mptx1	0.12309	0.12308	0.12308	0.12309	0.12313	0.12306
Mucl1	0.12351	0.12351	0.12351	0.12352	0.12352	0.12347
Cntnap5a	0.12065	 0.1206	0.12096	0.12082	0.12072	0.12062
Il20	0.12062	0.12067	0.12058	0.12071	0.12058	0.12049
Nr2e1	0.12065	0.12073	0.12058	0.12072	0.12082	0.12053
Csn2	0.12082	0.12064	0.12071	0.12092	0.12097	0.12095
Fam181b	0.12083	0.12078	0.12088	0.12093	0.12083	0.12095
Tmco5	0.12098	0.12098	0.12098	0.12088	0.12108	0.12089
Uts2r	0.12112	0.12116	0.12131	0.12119	 0.1208	0.12121
Fam180a	0.11979	0.11964	0.12007	0.11982	 0.1195	0.11989
Npy4r	0.12008	 0.1201	0.12031	0.11994	0.11985	0.12015
Tacr3	0.11993	   0.12	0.12031	0.11998	0.11996	0.12021
Gm12171	0.12025	0.11999	0.12041	0.12013	 0.1204	0.12028
Lhx1	0.12031	0.12034	0.12063	0.12014	0.12041	0.12045
Mylk4	0.12044	0.12039	0.12073	0.12033	0.12064	0.12039
Bpifb1	0.11761	 0.1177	0.11803	0.11777	0.13681	0.11757
Twist2	0.12057	0.12064	0.12072	0.12072	0.13315	0.12075
Vwa2	0.12143	0.12145	0.12161	0.12135	0.13256	0.12136
Mmel1	0.12238	0.12244	0.12255	0.12248	0.12241	0.12997
Phox2a	0.13631	0.12089	0.12099	 0.1208	0.12105	 0.1209
Trpa1	0.13301	0.12299	0.12307	0.12302	0.12623	0.12301
Hoxb8	0.11206	0.12857	0.11225	0.11186	0.11201	 0.1121
Nxph3	0.10982	0.13204	0.11006	0.10992	0.10999	0.10983
Chst8	0.10608	0.10602	0.10656	0.10637	0.12814	0.10644
Slc8a3	0.11174	0.11088	0.11341	0.11149	0.13322	0.11141
Ckmt2	0.10602	0.10609	0.13102	0.12163	0.10606	0.10593
Mslnl	0.10536	0.10531	0.13888	 0.1053	0.10526	  0.118
Lgi3	0.13172	0.13176	 0.1312	 0.1318	0.13191	0.13178
Shbg	0.12212	0.12198	 0.1221	0.13295	0.12218	0.12217
Trim61	0.12037	 0.1205	0.12058	0.14149	0.12026	0.12039
Mir183	0.11552	0.15859	0.11579	0.11538	0.11505	0.11581
Pitpnm2os1	0.11321	 0.1471	0.11404	0.11363	0.11378	0.11355
Myoc	0.12083	0.13992	0.12074	0.12074	0.12096	 0.1208
Pcdhb3	0.12083	0.13531	0.12105	0.12071	0.12075	0.12094
Sprr1a	0.12228	0.14366	0.12229	0.12227	0.12229	0.12228
Ceacam20	0.10642	0.10643	0.10659	0.10628	0.10637	0.14579
Phyhip	0.10751	0.10746	0.10762	0.10739	0.10757	0.14731
Gria1	0.10552	0.10574	0.10653	 0.1059	0.10613	0.15739
Sp7	0.10064	0.10062	0.10086	0.10041	0.10076	0.14746
Wnt2	0.097372	0.097433	 0.09766	0.097371	 0.11295	 0.13332
Trank1	0.10393	0.10421	0.12689	0.10403	0.10429	 0.1368
Gm13749	0.14146	0.12218	0.12233	0.12217	0.13302	0.14916
Ly6g6d	0.12217	0.12227	0.12237	0.12229	0.12216	0.15397
Nkain2	0.12021	0.12027	0.12035	0.12023	0.11989	0.14115
Wif1	0.11837	0.11839	0.11884	0.11847	0.11762	0.14208
Sorcs1	  0.119	0.11904	0.11917	0.11903	0.11934	0.14791
Tagln3	0.11835	0.11848	0.11852	0.11811	0.11862	0.14639
Slc7a13	0.11637	0.11648	0.11686	0.11618	0.11667	0.14367
Cdh22	0.13066	 0.1021	0.10223	  0.141	0.10226	0.10211
Gsdmc2	 0.1131	0.11307	0.11325	0.11307	0.16273	0.11305
Pgr	0.11587	0.11629	 0.1168	0.11608	0.15533	0.11646
Trim40	0.11726	0.11716	0.11724	0.11742	0.15642	0.11693
Upk3bl	0.11723	0.11689	 0.1178	0.11709	0.14698	0.11692
Acot3	0.10456	0.10461	0.10467	0.10448	0.10438	0.10461
Mos	0.10425	0.10438	 0.1044	0.10422	0.10443	0.10407
Fhad1os1	0.10514	0.10538	 0.1041	0.10493	0.10578	0.10569
Myh1	0.10484	0.10315	0.10589	0.10523	0.10548	0.10493
Rnase11	0.10394	0.10191	0.10501	0.10434	0.10459	0.10451
Olfr1410	0.10223	0.10459	0.10541	0.10475	  0.105	0.10491
Sprr2e	0.10191	0.10402	0.10486	0.10359	0.10444	0.10435
Actl9	0.10374	0.10398	0.10483	0.10415	0.10228	0.10381
Olfr859	0.10352	0.10376	0.10459	0.10392	0.10235	0.10321
Olfr556	 0.1035	0.10374	0.10458	 0.1039	0.10169	0.10407
Becn2	0.10264	0.10289	0.10376	0.10306	0.10332	0.10073
Clcnka	0.10264	0.10289	0.10376	0.10306	0.10332	0.10073
Cav3	0.10312	0.10336	0.10354	0.10353	0.10378	0.10166
Hoxc10	0.10315	 0.1034	0.10425	0.10356	0.10382	0.10127
Tbx20	0.10336	0.10302	0.10446	0.10377	0.10403	 0.1019
Hoxd1	0.10367	0.10391	0.10476	0.10408	0.10433	0.10183
Foxe3	0.10327	0.10352	0.10437	0.10129	0.10394	0.10385
Mir455	0.10358	0.10382	0.10401	0.10201	0.10423	0.10415
Slco1a5	0.10234	0.10334	0.10419	0.10168	0.10377	0.10368
Gm6927	0.10258	0.10283	0.10371	0.10092	0.10327	0.10262
Arhgap40	0.10136	0.10209	0.10298	0.10227	0.10253	0.10024
Mepe	 0.10177	 0.10202	 0.10292	  0.1022	 0.10247	0.099807
Mir6416	 0.1018	0.10146	0.10294	0.10223	 0.1025	0.10027
Defb34	 0.10145	  0.1017	 0.10261	 0.10188	 0.10215	0.099466
Nlrp2	 0.10145	  0.1017	 0.10261	 0.10188	 0.10215	0.099466
Olfr592	 0.10145	  0.1017	 0.10261	 0.10188	 0.10215	0.099466
Olfr615	 0.10145	  0.1017	 0.10261	 0.10188	 0.10215	0.099466
Tmem207	 0.10145	  0.1017	 0.10261	 0.10188	 0.10215	0.099466
Cartpt	0.10116	0.09942	0.10158	0.10161	0.10189	0.10179
Dmrtc1a	 0.10174	0.099557	 0.10289	 0.10217	 0.10244	 0.10235
Gm6313	 0.10174	0.099557	 0.10289	 0.10217	 0.10244	 0.10235
Slc24a2	 0.10153	0.099727	 0.10267	 0.10195	 0.10222	 0.10154
Olig3	 0.1022	0.10092	0.10382	0.10312	0.10338	0.10329
Crhr2	0.10256	0.10247	0.10277	0.10245	0.10261	0.10268
Vmn1r40	0.10267	0.10292	 0.1015	0.10309	0.10278	0.10326
Fgl1	0.10208	0.10233	0.10047	 0.1025	0.10277	0.10268
Scgb1b30	0.10167	0.10192	0.10004	 0.1021	0.10237	0.10227
Irx5	0.10142	0.10146	0.10128	0.10141	0.10152	 0.1015
Dmrt1	0.10208	0.10234	0.10322	0.10251	 0.1002	0.10268
Gm12887	0.10208	0.10234	0.10322	0.10251	 0.1002	0.10268
Smtnl1	0.10208	0.10234	0.10322	0.10251	 0.1002	0.10268
Hsd3b2	0.10213	0.10183	0.10327	0.10256	0.10065	0.10273
Dsg1b	0.099276	 0.10187	 0.10277	 0.10205	 0.10232	 0.10223
Mir125a	0.098887	  0.1026	 0.10377	 0.10331	 0.10177	 0.10181
Gm7244	0.10222	0.10332	0.10734	0.10117	0.10006	0.10257
Rhox5	0.10016	 0.1031	0.10713	0.10384	0.10055	0.10477
Fam159b	 0.10184	0.099443	 0.10693	 0.10364	 0.10507	0.099076
Olfr455	0.09996	0.10133	0.10745	0.10416	0.10558	0.10025
Trhr	0.10063	0.10376	0.10779	 0.1045	0.10589	0.10096
Gkn2	0.10108	0.10407	0.10521	0.10193	0.10621	 0.1011
Tbpl2	 0.10249	0.099448	 0.10758	 0.10144	 0.10572	 0.10277
Gm266	0.10382	0.10167	0.10894	0.10565	0.10457	0.10283
Mir6387	0.10281	0.10508	0.10912	0.10583	0.10454	0.10325
Trpv6	 0.1038	0.10469	0.10873	0.10545	0.10233	0.10267
Tmsb15b2	0.10395	0.10313	0.10642	0.10578	0.10718	0.10192
Tmem235	0.10562	0.10604	 0.1019	0.10205	0.10769	 0.1022
Olfr224	 0.09738	0.097918	 0.10572	 0.10243	 0.10386	  0.1034
Ankk1	0.099654	 0.10074	 0.10475	 0.10145	0.096836	0.098271
Cacng3	 0.10134	 0.10244	 0.10645	 0.10316	 0.09998	0.099006
Nme8	0.097272	 0.10073	 0.10472	 0.10143	  0.1003	0.096587
Olfr457	  0.0984	0.099153	 0.10574	 0.10244	 0.10131	0.098703
Olfr1178	 0.10107	 0.10216	 0.10616	 0.09829	  0.1043	0.098736
Cdh12	 0.10014	 0.10041	 0.10135	 0.10059	 0.10088	0.098108
Olfr638	 0.10014	 0.10041	 0.10135	 0.10059	 0.10088	0.098108
Cga	0.098964	0.099857	0.098419	 0.10004	 0.10033	 0.10023
Fez1	 0.10002	0.099787	 0.10026	0.099977	0.099979	 0.10006
Itih1	0.099424	0.099784	0.099847	0.099834	 0.09991	 0.09944
Olfr1393	0.099841	0.099777	 0.09973	0.099907	0.099995	0.099717
Gm10377	 0.10045	 0.10071	0.099693	 0.10089	 0.10117	0.099996
Hao2	0.10051	0.10051	0.10055	0.10052	0.10061	0.10053
Teddm1	  0.1001	 0.10036	 0.10048	0.098485	 0.10082	 0.10073
Rnf112	  0.1003	0.098469	 0.10151	 0.10076	 0.10104	 0.10029
Ces4a	0.098483	0.098763	0.099734	0.098952	0.096457	0.099147
Eras	0.098483	0.098763	0.099734	0.098952	0.096457	0.099147
Mir344d-3	0.099647	0.099918	 0.10086	  0.1001	0.097665	 0.10029
Defb43	0.098979	0.099255	 0.10022	0.099443	0.099736	0.096902
Ghrhr	0.098611	 0.09889	0.099861	0.099079	0.099376	0.096519
Gm13084	0.098611	 0.09889	0.099861	0.099079	0.099376	0.096519
Gm6260	0.098611	 0.09889	0.099861	0.099079	0.099376	0.096519
Hdgfl1	0.098611	 0.09889	0.099861	0.099079	0.099376	0.096519
