	LI_v_SI_GF_CD11b-CD103-	LI_v_SI_GF_CD11b-CD103+	LI_v_SI_GF_CD11b+CD103-	LI_v_SI_GF_CD11b+CD103+	LI_v_SI_GF_Monocyte	LI_v_SI_GF_Macrophage
Kank4	 0.5676	0.42217	0.68651	  1.071	0.65432	0.56653
Rbm4b	0.63892	0.35515	0.70778	 1.1459	0.63969	 0.4325
Rcl1	0.62794	0.34879	0.82483	 1.0553	0.62002	0.41293
Cdc42bpb	0.54033	0.45899	 0.8478	 1.2144	0.46737	0.50284
Kmt2b	 0.6595	0.66605	0.87039	 1.1379	0.53847	0.61188
Wnk1	0.56289	0.64574	0.90948	 1.1061	0.53287	0.37591
Srgn	 0.4524	0.40768	 0.9882	 1.0369	0.46638	0.34661
Eif1a	0.84345	 0.5021	  1.012	0.98061	0.56882	0.55678
Rbm5	0.70609	0.50013	 1.0783	 0.9836	0.47253	0.38411
Rbbp8	0.61514	0.63886	0.97453	  1.035	0.35417	0.55268
Tlk2	0.62446	 0.5185	 0.8552	 1.0301	0.22309	0.46038
Zfp830	 0.7597	0.47636	 1.0306	 0.8737	0.28085	0.59268
Acot9	 0.8787	0.74194	 1.2677	 1.2852	0.66085	0.61989
Cnot4	0.85096	0.74773	 1.2258	 1.2966	0.54151	0.59462
Vps37c	0.85713	0.61999	 1.2996	 1.2461	0.67157	0.54911
Luzp1	0.91131	0.81858	 1.2464	 1.2416	 0.8052	0.47911
Ubl4	0.99911	0.75741	 1.2245	 1.3678	0.92267	0.69306
Clic4	0.60258	0.67146	 1.2243	 1.4298	0.78847	0.71307
Tmem115	0.77705	0.63663	 1.2824	 1.4134	0.74274	0.82103
Ifnar2	0.62727	0.68662	  1.192	 1.2813	0.55357	0.60766
Nt5c1a	0.52909	0.53079	 1.1491	 1.2938	0.53724	0.74879
Cd53	0.99337	0.87349	 1.2046	 1.0385	0.62959	0.59811
Myo1c	0.79313	0.89577	 1.1605	0.94255	0.62912	0.61032
Ppp1r37	0.79686	0.84745	 1.1505	 1.0643	0.51168	0.44839
Tmem168	0.99715	0.78004	 1.1472	0.99445	0.62551	0.79928
Atp1a1	0.85202	 0.7837	 1.3786	 1.4295	 0.2847	0.41073
Pla2g12a	0.78134	0.57154	 1.3806	 1.3272	0.29011	0.41763
P2ry10	0.70058	 0.8221	 1.2636	  1.454	0.28666	0.58421
Fbxo30	0.92053	0.82468	 1.4019	 1.4509	0.37387	0.63636
Ist1	0.88606	0.93537	 1.3545	 1.3795	0.53207	 0.5614
Acoxl	0.66118	0.90891	 1.1879	 1.0679	0.43375	 1.1202
Rnf19a	0.56673	 0.7559	 1.1906	 1.1979	0.53257	 1.0493
Adss	0.73145	0.68836	 1.1613	 1.1571	0.76535	 1.1521
Ugt1a1	0.54912	 0.5703	 1.2204	 1.1278	0.72607	 1.2725
Fam65c	0.55851	0.54197	 1.0603	 1.2492	0.70484	  1.042
Ndfip2	0.88164	0.48803	0.91195	  1.301	0.74408	0.98015
Nkrf	0.86499	0.59195	 1.1056	 1.2611	0.67019	 1.0034
C9	0.55806	0.57224	0.67449	 1.2939	0.54603	 1.1857
Galr1	0.58964	0.58393	 0.8222	 1.3474	0.59957	 1.0603
Lrrc15	0.71625	0.72863	0.89895	 1.2482	0.60216	 1.2088
Fam166b	0.87244	0.57469	0.75007	0.98519	0.60249	 1.2989
Sema5b	0.66536	0.73949	0.67076	0.90194	0.64619	 1.2985
Rufy3	0.56468	0.57918	0.61652	 1.0354	0.46664	 1.1642
Ppp1r13l	0.62813	0.29686	0.91956	 1.0993	0.29448	 1.1575
Trim72	0.61089	0.43601	0.75103	 1.1056	 0.2456	 1.2391
Ypel1	0.62218	0.38379	0.91215	0.86446	0.30316	 1.0007
Cdc27	0.78633	0.43818	0.80051	 1.1148	0.78173	0.73526
Ppp4r1	 0.6404	0.58478	0.72771	 1.0557	0.61556	0.94297
Zbtb39	0.78418	0.65276	0.67796	 1.0004	0.73324	0.79406
Nebl	0.69507	0.57726	0.93904	0.94371	0.70806	  1.029
Rgs20	0.61612	0.47227	0.84581	0.95459	0.79812	 1.0216
Dimt1	0.77741	0.29704	0.60982	 1.0292	0.32447	0.85766
Mia2	0.80831	0.38848	 0.5477	 1.0395	0.52435	0.75363
Kif1c	0.81011	  0.344	0.48398	 1.1243	0.72943	0.89567
Hmgxb3	0.53483	0.30247	 0.5998	  1.186	0.53603	0.92051
Homer1	0.44905	0.64598	0.80131	 1.0196	0.75036	0.79422
Zfp791	0.27005	0.52298	0.68436	 1.0577	0.87587	 0.8874
Lrrc23	0.38111	0.38871	0.49655	 1.0554	0.64347	0.64038
Exph5	 1.0097	0.53156	 1.0813	0.94159	0.22519	0.88993
Fah	0.88437	0.48528	 1.0084	 1.0428	0.30334	0.96141
Rd3	0.87664	0.38486	0.84435	 1.0089	0.43237	0.98486
Reck	  1.271	0.51423	 0.9866	0.97129	0.42135	 0.9915
Tmem44	 1.1533	0.62547	 1.0206	 1.2441	0.21348	 1.0249
F8	 1.0261	0.47291	0.86763	 1.0982	0.24431	0.59118
Mmp21	0.81914	0.22239	0.84741	 1.1901	0.22681	  0.819
Rrs1	 1.0507	0.17232	0.87007	 1.1979	0.42565	 1.0372
Aar2	0.33349	0.41939	 1.3383	 1.3578	0.83229	0.46814
Ube2o	0.52135	0.35843	 1.3686	  1.321	 0.7105	0.29607
Vgll4	0.27436	0.55492	  1.382	 1.2867	0.57741	0.38759
Wdr53	0.39738	0.73494	 1.4562	 1.3287	0.79207	0.40671
Nmnat3	0.35391	 0.8121	 1.6319	 1.4822	0.55467	0.47689
Eps8l2	0.41751	0.33925	 1.3647	 1.5246	0.28934	 0.4414
Sel1l	0.49513	0.34058	 1.1697	 1.3535	0.37367	0.32279
Idi1	0.76969	0.16971	 1.2997	 1.4518	0.54789	0.31391
Atf5	0.74638	0.44084	 1.5536	 1.1458	0.55883	 0.2852
Rab35	0.74646	0.51211	 1.4655	  1.078	0.65804	0.40787
Gabarap	0.49415	0.45417	 1.4767	 1.1392	0.42897	0.28249
Cog3	0.58618	0.28102	  1.293	0.99657	0.55654	0.57365
Dcun1d5	0.57283	0.28108	 1.5043	0.88973	0.61699	0.52227
Lamp2	  0.762	0.46678	 1.4026	0.84063	 0.5771	0.51224
Nbeal1	0.67949	0.44161	  1.414	0.85572	0.56445	0.70816
Sept11	0.50209	 0.3262	 1.3641	0.71028	0.71261	0.55084
Ldhb	0.74008	0.59368	 1.6559	 1.1054	0.35862	0.63027
Pid1	0.60721	0.41594	 1.5474	 1.1399	0.10397	0.55771
Gm9958	 0.4402	  0.291	 1.4648	0.82897	0.19783	0.72301
Scyl2	0.49552	0.23239	 1.3307	 1.0399	0.42518	0.80786
Krt222	  0.54171	 0.048361	   1.2281	   1.0426	-0.071473	  0.76247
Ccnyl1	 0.57084	-0.19407	   1.639	  1.4743	 0.87457	 0.68374
Coro2b	0.53477	0.21685	 1.8299	 1.3219	0.61552	0.52254
Psd3	 0.65438	0.079435	  1.9473	  1.0494	   0.447	 0.76638
Adam32	0.48244	0.13675	 1.0357	 1.1377	0.99785	0.71574
Kpna3	 0.37728	0.089661	  1.0213	  1.0794	 0.85724	 0.68057
Fkbp1a	0.50183	0.19398	 1.0883	 1.1763	0.76034	0.97765
Alas1	 0.23033	0.027159	  1.1275	  1.3657	 0.97222	 0.93647
Smg8	0.39431	0.13135	 1.2114	 1.2414	 1.0301	0.93424
Arhgap21	 0.39853	0.070094	  1.1066	  1.3842	 0.29163	 0.70545
Chp2	0.28856	0.22794	 1.2272	 1.2578	0.25587	0.73751
Bag5	 0.20937	0.079087	  1.1252	   1.042	 0.66476	 0.76628
Baz1a	0.28401	0.18205	 1.0984	 1.2649	0.59787	0.70737
Zswim4	0.37205	0.22199	 1.0929	 1.3498	0.59933	0.56547
Rab10	 0.50028	0.023268	 0.99532	   1.091	 0.52358	 0.77397
Fpgt	  0.36547	-0.082741	   1.1843	  0.87956	  0.78218	  0.53286
Sh2d4a	0.050266	-0.20191	  1.0217	 0.89127	 0.60292	 0.65892
Nek6	 0.25677	0.073026	 0.91245	  1.0939	 0.47369	 0.44268
Tceb1	 0.57601	0.063691	 0.81254	  1.0018	 0.57491	 0.39076
Rnf185	  0.37767	-0.050409	  0.60492	   1.0558	  0.58045	  0.59437
Ahi1	0.20759	0.51625	 1.4529	 1.0874	0.72573	 1.1368
Ppig	0.041127	 0.36378	  1.3926	  1.2448	 0.82792	 0.79494
Impdh1	0.065448	 0.48176	  1.3273	  1.2996	 0.38279	 0.59115
Spata31d1d	0.26846	0.42215	 1.4258	 1.2107	0.59495	0.82481
Surf6	0.19856	 0.4065	 1.4431	 1.0939	0.32004	0.74892
Anxa5	0.43496	0.46427	0.98102	0.92526	0.56928	 1.1565
Itgb6	0.35117	0.54402	 1.1995	0.92547	0.65566	 1.0383
Cstb	0.18709	 0.5681	 1.1771	 1.1858	 0.5956	0.89565
Rrp1b	0.23162	0.51754	0.98211	 1.0712	0.67592	0.93904
Leo1	0.17783	0.38319	 1.1782	0.89118	0.70348	0.82221
Tcp10b	0.030183	  0.4764	    1.12	 0.97329	 0.65579	 0.88502
Zfp689	0.22818	0.46948	  1.173	 1.0014	0.27658	 1.0192
Pih1d2	0.10612	0.67623	  1.054	 1.1562	0.86646	 1.1254
Tnfrsf1b	0.11914	0.95647	 1.1223	 1.2213	0.63173	 1.0562
Foxp4	0.28521	0.61947	 1.4575	 1.7096	0.45228	 0.9986
Gas2l3	0.40388	0.46887	 1.1875	 1.7905	0.31986	0.96085
Nrxn2	0.46824	0.43512	 1.4256	 1.4598	 0.4179	 1.1579
Nup62	0.47668	0.37738	 1.2323	 1.4207	0.73462	0.83534
Ube2e3	0.28041	0.57094	  1.331	 1.5207	0.65976	0.84107
Bahcc1	 1.0436	0.43828	 1.4989	 1.3664	0.69241	 0.4672
Tex15	  1.049	0.14664	 1.5721	 1.4277	0.60889	0.55222
Ctse	 1.3841	0.60251	  1.533	 1.3645	0.69554	0.84069
Prkab2	 1.3374	 0.4338	 1.3244	 1.1608	0.82288	0.54322
Oxct1	0.88332	0.33909	 1.6231	 1.0762	0.77588	0.95818
Slc26a2	0.96067	0.60259	 1.6513	  1.221	0.97441	0.86851
Pqlc3	0.91345	0.39342	 1.3559	 1.0604	0.42706	0.94662
Vcl	0.93383	 0.5478	 1.3161	 1.1935	0.64093	0.82332
C2cd2	 1.4757	0.32751	 1.3946	0.95829	0.26114	0.98469
Tmem229a	 1.4135	0.50752	 1.4903	0.82991	0.33233	 0.6222
Cadm1	 1.2472	0.48018	 1.3956	0.97698	0.43508	  1.216
Cpsf4l	 1.1188	0.68242	 1.3543	 1.0881	0.30302	 1.1739
Il19	 1.1022	0.45584	 1.3326	0.62522	 0.4505	 1.1682
Pcdhb14	 1.1071	0.66199	 1.2089	0.70048	  0.532	 1.1188
Avpi1	0.31975	0.68054	 1.1333	 1.4038	 1.0361	 0.2856
Gstt1	0.12951	0.48278	 1.0245	 1.4233	 1.1483	0.44513
Hykk	-0.042573	  0.41622	   1.0165	   1.3365	   1.0361	  0.49166
Cgrrf1	0.78226	0.32007	 1.2107	 1.1139	 1.1368	0.45393
Them4	0.67568	0.59499	 1.1156	 1.0966	 1.1488	0.35866
Cyth3	0.74507	0.46227	  1.428	 1.2671	 1.0197	0.60775
Klf5	0.66089	0.45325	 1.1315	 1.3497	0.89542	0.81344
Zbtb43	0.60178	 0.4935	 1.1583	  1.292	 1.0585	0.69323
Esrp1	0.41601	0.43555	0.80082	 1.0436	 1.4006	 0.6303
Ip6k2	0.39543	0.38098	 1.0631	 1.1833	 1.2139	0.64015
Hspb1	0.75356	0.35183	 1.0483	 1.5479	 1.4305	0.60111
Slc15a1	0.54433	0.32403	0.98248	 1.3383	 1.4902	0.67591
Hspa2	 0.16844	-0.12823	  0.9356	  1.4454	  0.8172	 0.42934
Ngfr	0.0075247	-0.055722	  0.86029	   1.3425	  0.79195	 0.038183
Mfge8	 0.44934	 0.36173	  1.0742	  1.3827	 0.91556	-0.02448
Sipa1l1	0.62052	0.32049	0.86169	 1.2449	 0.8802	0.22238
Traf2	 0.39321	0.091967	 0.79473	  1.2974	  0.9494	 0.33724
Sgsm1	0.47456	0.26134	0.40005	 1.3011	0.74448	 0.3208
Tpst2	0.46879	0.44595	0.63892	 1.9811	0.63697	 0.5852
Zc2hc1a	 0.4951	0.47075	0.60208	 1.7456	 0.9814	0.54535
Zfp518b	 0.59232	0.086185	 0.63764	  1.6181	  1.1578	 0.61065
Adamts14	0.25567	0.80104	 1.3781	0.89262	0.55775	0.34868
Casp4	0.23327	0.84206	 1.4549	0.89033	0.38861	0.50732
Rasl10b	0.38553	0.79575	 1.3009	 1.1506	0.39184	0.62426
Slc29a4	0.47818	0.91536	 1.4255	0.86883	0.50113	0.69337
C77370	0.31144	0.42784	 1.2373	  0.924	0.17652	0.25094
Klhl12	 0.3497	0.58909	 1.1502	 1.0893	0.17823	0.29885
Rnf103	0.43367	0.53918	 1.1748	0.89698	0.29888	0.39242
Cytip	0.65821	0.87741	 1.0977	 1.0815	0.24921	0.38297
Tle3	0.65604	0.68362	  1.023	 1.1438	0.13504	0.40473
Fam129a	0.43672	 0.7869	 1.0189	 1.0397	0.14999	 0.4195
Terf2ip	0.45604	0.81954	 1.0484	0.89341	0.14062	0.45786
Polb	0.26817	0.81341	0.99414	  1.024	0.24311	0.23143
Catsperg1	 0.2086	 1.1231	 1.0001	 1.0394	0.22749	0.42051
Ppard	0.36445	  1.203	0.74434	 1.0314	0.16344	0.47696
Gfi1b	0.089938	 0.73182	 0.78986	  1.1025	-0.22784	 0.43079
Ubiad1	0.057336	 0.86628	 0.88361	  1.1353	0.086688	 0.42046
Cdk15	0.25949	 0.4365	  1.057	0.76058	0.19021	0.75587
Tex12	0.074656	 0.67571	  1.0077	 0.56846	 0.20883	 0.68702
Pepd	-0.2808	0.80543	 1.1037	0.74576	0.21698	0.74467
Krt80	0.075526	 0.81785	  1.1986	  1.0139	-0.34522	 0.90073
Macc1	0.020904	 0.82231	 0.94929	  1.0087	-0.19416	 0.81449
Lactb	0.092807	  1.0284	  1.2231	  1.1895	-0.34101	 0.62647
Nkain1	 0.13142	  1.2609	  1.2902	 0.88338	-0.25792	  1.0178
Rab11fip5	0.15237	0.55485	 1.3411	 1.0749	-0.2286	0.63081
Snx32	  0.22675	  0.62729	   1.3642	  0.83877	-0.012206	  0.54037
Ccrn4l	0.63334	  1.239	 1.2649	 1.0108	0.35472	0.75661
Fkbp1b	0.42653	 1.2424	 1.2221	  1.171	0.26838	0.74195
Nr1h3	 0.43007	  1.1001	  1.1653	  1.0047	0.054443	 0.78309
Usp27x	 0.57776	     1.2	  1.0394	  0.9836	-0.12829	 0.74878
Crip1	0.81279	 1.0445	 1.2977	 1.0759	0.14824	 0.8202
Serac1	  0.70981	  0.85406	   1.1899	   1.1771	-0.089682	  0.98801
S100a3	0.94311	 1.2178	 1.1397	0.69677	0.15665	 0.6721
Agap1	0.67766	0.92867	 1.1075	0.54262	0.07726	0.14483
Cd44	0.96674	0.65597	 1.0801	0.69232	0.15878	0.26909
Trim8	 0.9621	0.81873	 1.0432	0.36147	0.15529	0.25355
Fli1	 0.92697	 0.91228	  1.0536	 0.84477	-0.18578	 0.30506
P2rx4	 0.65367	  0.9876	  1.0654	 0.98443	0.034466	 0.14509
Iqsec2	 0.76142	  0.7879	  1.3863	 0.98562	0.044967	 0.26089
Rasd1	0.96198	0.81302	  1.203	0.97006	0.21337	0.25665
Zswim6	  0.92631	  0.91082	   1.1519	  0.78342	  0.49822	-0.040804
App	0.49364	 1.0687	 1.1439	0.22776	0.26623	0.34987
Islr2	0.39956	  1.011	0.93172	0.58557	 0.3627	0.62298
Sidt2	0.34308	 1.0675	0.81667	0.67856	 0.5286	0.34455
Fxyd5	  0.33597	   0.8498	   1.1632	  0.63081	  0.39531	-0.074305
Mapk8ip1	 0.47224	  1.0176	 0.90154	 0.83508	  0.2899	-0.15248
Shb	0.40516	  1.356	 0.9425	0.50566	0.20597	-0.1558
Agk	   -0.14414	-2.5811e-05	     1.3339	    0.80856	    0.52827	    0.83339
Lrrc16b	-0.07809	 0.12847	  1.1081	 0.64754	 0.43905	 0.66221
Pxn	-0.17245	  0.4036	  1.0158	 0.86691	 0.44936	 0.70746
Atp11a	-0.10635	0.051675	  1.1245	  1.0002	 0.35422	 0.27891
Vcp	 0.10009	0.025372	  1.0221	 0.84911	 0.37524	  0.4313
Foxj1	0.27044	0.46371	 1.4037	0.75105	0.42604	0.65467
Tmem189	0.21031	0.37119	 1.1108	0.79492	0.54327	0.65324
Il4ra	0.15948	0.28525	 1.1519	0.96773	 0.5365	0.37794
Sap30l	0.21027	0.27093	 1.2677	0.93836	0.67533	0.46518
Rps6ka2	0.13361	0.38844	 1.1483	0.85635	0.74546	0.26193
Ano7	0.25318	0.20446	 1.4474	0.66637	0.31416	0.37148
Pgf	0.10241	 0.1593	 1.3051	0.63017	0.11067	 0.4789
Rps6ka3	  0.13154	-0.044608	   1.2499	  0.55864	  0.33595	  0.64613
Tfb2m	  0.31791	-0.021112	   1.0864	  0.53433	  0.17967	  0.48798
Pttg1ip	  0.2433	-0.11138	  1.3942	 0.84752	 0.37459	 0.69416
Btnl2	 0.24198	0.029919	  1.1695	 0.47812	 0.52777	 0.24584
Pramef8	0.29675	0.18505	 1.0391	 0.3543	0.33307	0.33175
Cndp2	-0.15941	-0.12607	  1.4001	 0.45521	 0.57641	 0.53038
Akirin2	  0.32194	  0.23187	    1.033	  0.71642	  0.14547	-0.077463
Prkrir	0.16594	0.28065	 1.0963	0.71172	0.22439	0.18762
Ctdnep1	  0.25244	  0.54124	   1.0934	  0.72638	  0.21729	0.0010711
Ggnbp1	-0.090022	  0.48696	   1.4548	  0.68333	  0.21227	  0.26573
Gramd1a	-0.12123	 0.55399	  1.1303	 0.80548	 0.22934	  0.2575
Psmd7	0.021503	 0.47619	  1.1628	 0.83061	 0.46213	 0.35943
Angptl7	-0.22567	 0.57131	  1.0938	 0.54041	 0.64539	 0.39029
Camk1	-0.11484	 0.52318	  1.0674	 0.43532	 0.51311	 0.38256
Mturn	0.086411	 0.49354	  1.0592	 0.39571	 0.57372	 0.41031
Plek	0.17347	0.53968	 1.1168	0.61964	0.50632	0.45931
Snap23	0.25602	0.33994	 1.0484	0.51727	 0.6067	0.32313
Manbal	0.14675	0.58622	 1.0394	0.42064	0.93707	0.34327
Mdk	-0.016917	  0.60083	   1.2344	  0.13953	  0.76895	  0.30268
Stk32a	-0.10899	 0.32681	  1.1955	0.031369	 0.62902	 0.35492
Btd	   0.43232	   0.36557	    1.3748	   0.84498	   0.77766	0.00085007
Rwdd4a	  0.27871	 0.016012	   1.2712	   1.0759	  0.57398	-0.018765
Fcrl5	-0.11628	 0.51966	  1.6019	  1.1803	 0.81685	 0.14513
Arfgap3	-0.1618	0.57224	0.98358	 1.2833	0.52758	 0.8282
Il1bos	-0.2522	0.61982	 1.1512	 1.5679	0.43177	0.40933
Ninj1	-0.17482	 0.73104	  1.0793	  1.4461	 0.47642	  0.5516
Lilrb4	-0.12519	 0.61638	  1.0189	   1.209	  0.3949	 0.43245
Ephx1	-0.39007	 0.54575	  1.1214	  1.1193	 0.21346	 0.69376
Rel	 -0.475	0.45597	 1.1705	 1.1599	0.49559	0.48991
Gclc	-0.55974	 0.56846	 0.88562	  1.1458	  0.2584	 0.93447
Lonrf1	-0.61236	 0.18013	  1.3185	  1.2832	 0.33908	 0.78579
Ddit4	-0.31663	 0.20714	  1.0955	  1.3482	 0.64738	 0.68681
Kcnh3	-0.33171	0.017708	  1.0307	   1.357	 0.54814	 0.70653
Wisp1	-0.32327	 0.40227	 0.95289	  1.4008	  0.7861	  0.7516
Dph5	 0.0127	 0.3559	 1.0432	 1.6109	0.66473	 1.1589
Fancc	-0.054695	  0.22074	  0.94992	   1.6441	   0.5815	  0.84895
Bcor	0.034873	 0.20679	  1.1432	  1.5013	 0.31716	 0.27691
Eps8l3	0.091981	 0.13851	   1.181	  1.4857	 0.30542	 0.23721
Osgin2	0.10581	0.23455	 1.3529	 1.5008	0.21523	0.38597
Denr	0.054479	 0.02937	  1.1728	  1.3556	 0.30846	 0.48939
Marco	0.13473	0.14075	 1.0072	 1.2881	0.32243	0.50447
Sqstm1	 0.1124	 0.4421	 1.0512	  1.466	   0.25	0.47469
Mir22hg	0.14251	 0.2794	 1.2616	 1.6497	0.46719	0.65329
Ddn	0.023442	 0.16289	  1.4803	   1.435	 0.31971	0.073965
Sept8	-0.20841	-0.16605	  1.1498	  1.4334	 0.20428	 0.35701
Trim30b	 0.24767	0.057295	  1.5078	  1.4126	-0.11776	 0.69781
Asun	 0.050489	  0.11992	  0.71708	   1.0719	-0.033463	  0.47079
