	SFB_v_GF_CD11b-CD103-	SFB_v_GF_CD11b-CD103+	SFB_v_GF_CD11b+CD103-	SFB_v_GF_CD11b+CD103+	SFB_v_GF_Monocyte	SFB_v_GF_Macrophage
Fmo1	  1.503	 1.2504	 1.0609	 1.5092	0.95166	 1.3424
Igf2	1.3422	1.1286	 1.145	1.5226	1.1303	1.3154
Ndufa4l2	1.4895	1.1497	1.3472	1.1692	1.4848	1.1771
Scgb1a1	1.1929	1.0893	1.5267	1.1683	1.4443	1.1428
Tal1	1.1137	 1.085	1.3981	1.1809	1.6166	1.4286
Asb14	 1.2636	 1.3407	 1.2497	 1.0796	0.93948	 1.9188
Pkib	1.3295	1.3631	1.4521	1.0943	0.8447	1.6569
Fam115c	1.1671	1.1825	 1.388	1.1679	1.1521	 1.687
Stat4	1.2119	1.1994	1.3884	 1.147	1.0508	1.8445
Shank3	 1.186	1.3584	1.3709	 1.272	1.1992	1.5792
Scin	1.3026	1.5771	1.3701	1.0665	1.2821	1.7303
Bean1	1.4185	1.3795	1.4153	1.5169	1.3855	1.4094
Sema3g	1.3836	1.3695	1.4433	1.4116	1.3211	1.3415
Col28a1	1.4699	 1.321	1.5066	1.2957	1.3295	1.3444
Cav1	1.4506	1.4916	1.6947	1.4225	1.2143	1.6413
Cytl1	1.3511	1.4364	 1.546	1.3685	1.3498	1.5406
Inhbb	1.3822	1.3553	1.5628	 1.331	 1.321	 1.532
Galnt15	1.4431	 1.445	1.6743	1.4222	1.3926	1.5696
Lims2	1.3327	1.4296	1.6314	1.3327	1.2909	1.3842
Ddah1	1.5498	1.5916	1.5275	1.4709	1.4324	1.5616
Lamc3	1.5279	1.4636	1.5418	1.4595	1.4617	1.5146
Stmn2	1.5578	1.5092	1.5739	1.4596	1.4452	1.5355
Dgkb	1.4867	1.4456	1.5697	1.4489	1.4747	1.6252
Esm1	 1.448	1.4499	1.5117	1.5849	1.5114	  1.46
Kcnd3	1.5137	1.5856	1.8067	1.5558	1.4943	1.5539
Hdx	1.3329	1.2918	1.4358	1.6127	1.2495	1.4484
Pcdhga11	1.5414	1.2344	1.4963	1.6392	1.1707	1.4754
Fgf7	1.4245	1.2798	1.3786	 1.359	1.2118	1.7234
Lama3	1.4019	1.5338	1.3334	1.4928	 1.282	1.6931
Meis2	1.5185	1.5021	1.0277	 1.394	1.4504	1.4517
Nqo1	1.6109	1.4081	1.2392	1.4339	1.2818	1.2996
Tbx2	1.4798	  1.47	1.2256	1.0936	1.2025	1.4013
Tm4sf1	 1.437	1.4012	1.2596	1.2303	 1.288	1.3248
Mir466i	1.6437	1.8337	1.1697	1.2827	1.4882	1.5489
Nptx1	1.4805	1.8631	1.2949	1.3161	1.2255	1.4902
Dpysl5	 1.164	1.1632	1.0927	1.5097	1.5055	1.5795
Pitpnm3	1.3301	1.2565	1.2706	1.3311	1.5543	1.5024
Pof1b	1.3506	1.3255	1.2985	1.3453	1.5617	1.9556
Aqp1	1.5391	 1.192	1.1031	 1.304	 1.069	1.5981
Limch1	 1.6548	 1.1446	 1.0878	 1.1073	0.97051	 1.5791
Rassf9	 1.798	1.2513	1.1781	1.3263	1.0759	1.2652
Ttll7	1.8547	1.2033	1.3761	1.1286	1.1209	 1.427
Unc5c	1.8836	1.2069	1.2207	1.2123	1.1603	1.4856
Capn5	 1.8182	0.94153	0.89374	 1.1969	 1.4359	 1.4802
Dixdc1	1.6885	0.8209	1.0468	1.1832	1.2985	1.3452
Ednrb	 1.693	1.0067	1.1222	1.1506	1.3968	1.3565
Ect2l	 1.577	1.0382	1.2156	1.1802	1.6066	 1.527
Cadm4	 1.1596	0.86449	 1.5344	 1.1251	 1.2606	 1.7299
Cish	1.5107	 1.002	1.6143	 1.363	1.0894	 1.688
Vdr	 1.3424	0.61819	 1.2487	 1.4041	 1.1204	 1.7177
Agpat4	0.98242	 1.5918	0.96627	0.93303	 1.2153	 1.4821
Mir1b	 1.1075	 1.6325	0.91983	 1.0776	 1.4362	 1.3373
Kcng3	0.84604	 1.3242	0.92252	  1.283	 1.1948	 1.5412
Mir6398	 1.0199	 1.2083	0.89689	 1.0332	 1.3286	 1.6158
Olfm2	0.72507	 1.5715	  1.087	 1.5816	 1.2675	 1.3431
Slc16a4	0.57501	 1.6621	0.91957	  1.065	 1.1647	   1.23
Mir7073	0.85474	 1.1535	0.82339	 1.4882	 1.6222	 1.3482
Ttr	0.89194	 1.2934	0.41584	 1.5239	 1.2879	 1.5773
Bcas3os2	0.56477	 1.6892	 1.0903	0.69104	 1.5895	  1.496
Fgfr3	0.96279	 1.6395	 1.5108	 1.1252	  1.685	 1.4601
Abcc9	0.98224	0.81042	0.85899	 1.0653	0.64779	 1.9368
Mecom	 1.0546	0.81775	0.74552	 1.0764	0.97919	 2.1185
Slitrk6	 1.2096	0.84182	0.90959	0.87476	0.85594	  2.151
Col4a6	  1.042	0.98917	 1.1266	0.98713	0.98572	  1.892
Zfhx4	 1.2855	 1.0865	 1.1391	0.94699	 1.1101	 1.8634
Npr2	 1.5143	0.95163	 1.0795	 1.0128	0.87966	 1.9201
Adamts8	0.79694	 1.1664	0.96941	0.75472	0.76991	 1.5018
Sorbs2	0.71737	 1.0494	0.88708	 0.9473	0.69672	 1.5983
Arhgap44	0.87537	  1.095	0.87738	 1.0004	0.81974	 1.7695
Gm9958	0.89269	 1.1338	0.63418	 1.0018	0.76824	 1.8417
Celf6	0.76446	 1.0269	0.71006	0.69694	0.72459	  1.786
Bmp5	0.90715	0.52142	0.75611	 0.6254	0.82714	 1.8461
Cyp2j9	 1.0425	0.85911	0.90416	0.84108	0.83906	 1.6905
Tmem200a	0.91523	0.89693	0.94664	0.80758	0.76896	 1.8167
Mal	0.85824	0.84085	0.88924	0.84155	0.89118	  1.687
Vegfc	0.91546	0.81707	0.83045	0.84064	0.83628	 1.5303
Pcdh9	0.91064	0.81905	 1.0007	0.78852	0.72262	 1.5433
Gucy1b3	 1.1337	0.76018	0.98797	0.75014	0.95629	 1.8471
P2ry10	  1.018	0.67356	 1.1137	0.80039	0.57722	 1.7106
Ushbp1	0.87121	0.77243	 1.1689	 0.6305	0.83423	 1.9773
Clec14a	0.85582	 1.0177	 1.1454	 1.4199	0.86571	 1.7944
Tek	0.98155	 1.1089	 1.1514	  1.216	0.72593	 1.6424
Ppic	 1.1375	 1.1723	  1.138	 1.3261	0.57017	 2.1036
Gpr85	 1.1956	0.98171	 1.1902	 1.5976	0.44201	 1.6976
Gstm2	0.79535	 1.1648	0.83439	0.31933	 1.1326	 1.8775
Emcn	 1.6883	 1.1796	 1.6925	0.95235	0.92588	 1.7564
Spata32	 1.6884	 1.2034	 1.5862	 1.1996	0.66538	  1.903
Klhl3	 1.8576	0.82434	 1.3282	 1.1549	0.65695	  2.008
Klk9	 1.0095	 1.0115	 1.4179	0.85313	0.88859	 1.7496
Msrb3	0.84748	 1.0315	 1.4799	 1.0083	0.78213	 1.9487
Prnp	 1.0659	 0.7249	 1.5884	0.89391	0.91203	 1.9417
Morn3	  1.292	 1.3225	 1.4578	0.93786	0.55921	 2.0242
Palmd	 1.3649	 1.1468	   1.58	0.84462	 1.0472	 2.0338
Thsd7a	 1.2707	 1.1217	 1.3826	0.96897	0.96566	 2.2364
Ccdc37	 1.1138	 1.4509	 0.7554	 1.1245	0.96172	 1.5142
Gm1564	 1.0719	 1.3024	0.78194	 1.2706	0.78365	 1.4152
Cldn7	 1.2552	  1.111	0.51695	0.83586	0.86437	 1.4713
Kctd4	 1.1286	 1.1843	0.74918	0.83326	 0.8056	 1.5776
Mmrn1	 1.5405	 1.2103	0.66004	0.73589	0.66485	 1.5508
Rgs16	  1.533	 1.4329	0.75212	0.66253	0.55828	  1.231
Fkbp10	 1.2996	 1.3403	 1.1199	0.65341	0.78208	 1.9711
Klhl4	 1.4367	  1.506	0.99995	0.92843	0.93161	 1.8762
Plekhb1	 1.3856	 1.7505	0.78331	0.97347	0.65773	 1.8156
Snph	 1.7235	 1.6112	 1.3517	0.88999	0.81551	 1.6159
Sh2d4b	  1.637	 1.4725	0.69391	  1.363	0.37739	 1.3692
Fam167a	 1.0684	 1.2301	 1.1745	 0.7907	0.41522	 1.6758
Pcdhgb6	 1.1403	 1.3023	 1.5638	0.88767	0.43805	 1.5924
Ptprr	1.2031	1.2693	1.4293	 0.786	 0.314	1.5578
Gng4	 1.2601	 1.2998	 1.4042	 1.0562	0.42073	 1.2393
Itga3	 0.9962	 1.5018	 1.0782	 1.0456	0.43825	 1.4324
Timp3	 1.2301	 1.3428	 1.0563	0.91318	0.57889	  1.483
Pcsk6	0.96649	 1.4738	 1.2998	0.74608	0.66336	 1.3181
Rnf217	0.85559	 1.8461	 1.2318	0.94934	0.67357	 1.5175
Gstt1	  1.1745	  1.4995	  1.1375	 0.50908	-0.20036	  1.5151
Slc25a29	 0.87814	  1.2703	  1.3599	  0.7258	0.052493	  1.3217
Bhlha15	0.93086	0.92082	 1.3265	 1.7564	 2.1921	 1.2547
Enam	 1.2261	0.76549	 1.1863	 1.8413	 2.1846	 1.3381
Pcdhgc4	  1.429	0.99195	 1.0127	 1.7202	 2.0471	0.93548
Cd109	 1.1896	0.92855	   1.39	 1.3588	  2.056	 1.6821
Guca2a	 1.0633	0.91531	 1.5653	 1.0247	 1.9984	 1.5804
Fbxo17	  1.335	0.74002	 1.1228	 1.4058	 1.7654	  1.344
Gpr20	 1.2267	0.82696	 1.1209	 1.0725	 1.8608	 1.4331
Car8	0.98058	  0.939	0.64225	 1.4433	 1.1445	 1.5993
Npdc1	0.92111	 0.7889	0.76511	 1.2938	 1.0886	 1.8872
Cdc42ep1	1.0791	1.0353	1.0687	 1.292	1.3821	1.8843
Hrc	  1.039	0.91183	0.89426	 1.1112	 1.3416	 1.9266
Myl4	 1.1541	0.98505	0.68493	 1.0584	  1.348	 1.9916
Dnm3os	 1.2742	0.76693	0.84857	   1.51	 1.2859	 1.6823
Mir3473f	 1.3724	0.88256	 1.0752	 1.7106	 1.4664	  1.689
Hid1	 1.0509	0.69679	 1.0663	 1.4136	 1.6196	  1.666
Rapgef3	  1.399	0.95714	0.97533	  1.305	 1.7095	 1.8216
Slc44a4	 1.3977	 0.8076	0.62613	 1.1954	 1.6598	  1.889
Slc4a4	0.85204	 0.9705	0.82828	 1.4688	 1.9371	 2.0152
Tmem56	0.93055	0.70252	0.67487	 1.3306	  2.023	 2.0109
Abra	1.0302	1.2293	 2.024	0.6461	1.5251	1.7958
Lrrtm2	 1.1419	 1.4628	  1.552	0.70826	 1.3406	 2.0722
Selp	 1.4159	0.98518	 1.5801	0.41715	  1.687	 2.2139
Eltd1	0.85583	0.79358	 1.5283	0.75281	 1.7357	 1.8506
Olfr700	0.60231	 1.0275	 1.1459	0.61609	 1.9108	 1.7321
Adam30	 1.6659	0.75259	0.26004	 1.3676	  1.256	 1.5564
Sptbn2	 1.6007	 1.2868	0.27861	   1.09	 1.0346	 1.1513
Cebpe	 1.7655	0.66394	0.37422	0.72094	 1.3575	 1.3869
Tox2	 1.6881	 1.1052	0.30259	0.60506	 1.1165	 1.6361
Itgb8	 2.1982	 1.4855	0.81917	0.71094	 1.3584	 1.5281
Timd2	 2.0128	 1.4358	0.90739	0.36284	 1.2834	 1.4619
Afap1l1	 1.8746	0.69828	0.97888	 1.1438	0.59231	0.99306
Tspan15	 1.8708	0.59293	 1.0235	 1.2255	0.62612	 1.1127
Chl1	 1.9037	0.73202	 1.2758	 1.0345	0.67916	0.88803
Wipi1	 1.5435	0.38355	 1.0757	 1.4847	0.43415	0.81412
Bmp10	 2.1486	0.53005	0.67432	0.41732	 0.4068	0.80186
Scn4a	 2.4016	0.65321	 1.1408	0.87089	0.47324	0.67448
Gm4566	 1.9439	0.66605	0.76366	0.86211	0.75736	 1.0884
Thsd4	  1.912	0.88259	0.79235	0.74478	0.78184	 0.7958
Ldlrad1	 2.0324	 1.1927	0.57738	0.59921	0.82818	0.93228
Sel1l3	 2.2181	0.81059	0.54358	0.75534	0.81692	  1.357
Sh3bgrl2	  1.964	 0.8915	0.76539	 0.7507	 1.1844	 1.2056
Myo5c	  2.158	0.59573	0.38072	 1.1683	0.46693	0.49556
Agr2	 1.2017	0.62672	 0.3253	 1.3054	0.67523	 1.7708
Bche	 1.4237	0.53227	0.43538	 1.3307	0.37737	 1.7259
Nos2	 1.3489	 0.6722	0.64489	 0.7665	0.73211	 1.3871
Vldlr	 1.4617	0.64351	0.52642	0.96861	0.50379	 1.3096
Tspan1	 1.3289	0.69313	0.41207	0.89204	0.33504	  1.631
Gja1	 1.5066	0.91359	0.97977	0.50323	0.51144	 1.6983
Lrrn4cl	 1.6958	 1.1259	 1.1271	0.72406	0.39611	 1.8605
Mapk12	 1.5599	0.72691	0.86497	0.96348	0.69539	 1.4993
Yes1	 1.5589	0.74529	 1.1909	0.91924	0.54104	 1.6579
Ctnnal1	  1.579	0.77782	0.37292	 1.0895	 0.5673	 2.2877
Ica1	 1.9266	0.31354	0.69293	 1.3763	0.67153	 2.1061
Sned1	   1.4145	-0.030598	  0.52219	    1.232	  0.83473	   1.7747
Adcy2	0.95355	0.72068	   0.79	 1.6559	0.99682	0.82211
Gm996	0.76581	0.69578	0.76097	 1.4102	 1.0868	0.69598
Mcf2l	  1.246	0.96321	 0.7835	  1.422	 1.0744	0.95282
Tktl1	 1.3408	0.73444	0.79346	  1.489	 1.1676	0.79805
F5	 1.0832	0.73632	0.24616	 1.6096	0.98778	 1.2226
Clec4d	 1.3521	0.24589	0.49296	 1.3797	   1.02	0.81848
Slc32a1	 1.2293	0.23307	0.28794	 1.3884	 1.3372	 1.0761
Homer2	 1.5167	 0.4427	0.59578	  1.351	 1.4296	  1.241
Gsdma	0.38919	0.39552	0.58328	  1.834	 1.1217	0.78921
Bhlhe41	 2.1483	0.28487	 1.1968	 1.6639	 1.4063	 0.6591
Ccr10	 1.7819	0.28902	 1.5029	 1.8855	  1.343	 1.2087
Gnat3	  1.3571	0.047506	  1.3588	  1.8724	  1.2213	  1.2752
Glp2r	 1.0912	0.27456	 1.2918	 1.5733	 1.3427	 1.0437
Srms	 1.3323	0.75464	 1.3175	 1.7533	  1.127	0.87162
Gm12992	 1.0677	0.50561	0.92324	 2.3356	 1.3861	 1.3239
Akr1c18	 1.0432	 1.0451	0.73907	0.92014	 2.3766	 0.7783
Faxc	0.87991	0.59743	0.58096	0.97723	  2.312	0.72867
Bcas3os1	0.97187	0.86479	0.82899	0.56867	 1.7746	 1.0348
Cxcl5	0.87833	0.83044	0.88943	0.92289	 1.6669	 1.1441
Hand1	0.93662	0.92552	0.90744	0.91133	 1.8053	 1.1587
Slc6a11	0.94775	0.97527	0.98426	0.91807	 2.0008	0.93799
Ephb3	0.68125	 1.0481	0.45795	0.93101	 2.0227	 1.0369
Nap1l2	 0.8572	0.75306	0.62598	 0.9904	 1.9334	 1.0992
Ntn3	 1.3778	0.75549	0.63781	0.68092	 1.8656	0.92736
Perp	  1.399	0.98666	0.71857	0.89384	 1.9653	  1.102
Muc1	0.88342	0.95485	0.10957	0.94306	 1.7838	 1.1129
Olfr1373	  1.188	0.87346	0.21629	 1.1449	  1.549	 1.1411
Serf1	 1.0665	0.81819	0.39398	  1.033	 1.4317	  0.919
Aloxe3	 1.0572	0.95014	0.60826	0.98807	 1.2036	0.22057
Apoa1	0.84473	 1.0896	0.93817	0.94501	 1.6237	0.46853
Gm16861	0.88108	 1.0795	0.71193	 1.0044	 1.4501	0.80438
Dpep3	0.86599	  1.511	0.98789	0.96648	 1.6864	0.87204
Sstr2	0.96622	 1.5574	0.63271	0.76067	 1.3163	0.72247
Exph5	0.76481	 1.1402	0.25801	 1.0362	 1.0457	 1.1133
Fam129b	0.56968	 1.2015	0.59479	 1.2396	 1.0117	 1.2095
Slc9a4	0.46822	  1.193	 0.3054	 1.0548	 1.3254	0.85333
