	CCR6-ILC3_SI_1	CCR6-ILC3_SI_2	CCR6-ILC3_SI_3	CCR6-ILC3_LI_1	CCR6-ILC3_LI_citro_2	CCR6-ILC3_LI_citro	CCR6+ILC3s_SI_1	CCR6+ILC3s_SI_2	CCR6+ILC3s_SI_3	CCR6+ILC3s_LI_1	CCR6+ILC3s_SI_Citro_2	ILC1_SI_3	ILC1_SI_4	NK_SI_3	NK_SI_4	ILC2_SI_1	ILC2_SI_2	ILC2_LI_1	ILC2_LI_2	ILC2_LI_citro_2	NKcells_LI_citro	NKcells_SI_SS
Cfi	 0.66918	-0.36975	-0.35066	-0.89673	-0.89673	-0.26555	 0.78272	 0.53393	-0.31763	-0.89673	-0.89673	  2.6781	 0.66802	  1.3857	-0.89673	 0.82479	  1.1274	-0.89673	-0.89673	-0.89673	-0.89673	 0.70436
Cgref1	   1.2445	   0.5096	  -1.1923	 -0.28958	 0.001438	-0.093764	  0.77651	  0.50406	  -1.1923	 -0.37001	  -1.1923	    1.798	  0.32167	   2.2249	  -1.1923	  0.76485	  0.65774	  -1.1923	  -1.1923	 -0.28581	 -0.26619	 -0.34392
Tpd52l1	  0.66622	   1.0799	 -0.66094	 -0.66094	 -0.66094	  -0.1727	   0.5721	-0.052187	 -0.66094	 -0.66094	 -0.66094	    3.195	 -0.66094	   1.7368	 0.082341	 0.081977	 -0.66094	 -0.66094	 -0.66094	 -0.66094	 -0.66094	  0.74199
5330417C22Rik	   0.37513	  -0.39497	  -0.84373	  -0.70352	   -1.0531	   0.40059	   0.41246	   0.40726	   0.38398	   0.85024	   -1.6566	       1.8	    1.3851	    1.8412	-0.0062216	    0.3171	  -0.39873	  -0.75481	   -1.2533	   -1.6566	  -0.19102	   0.73949
Ttr	  0.29693	 -0.10785	  -1.0376	-0.045322	  -1.0376	 -0.12575	   0.2966	 0.092749	  -1.0376	   1.6988	  -1.0376	   1.7062	   1.2763	   2.2236	  0.61488	 -0.53947	  -1.0376	  0.32555	  -0.2656	  -1.0376	  -1.0376	 -0.18457
Cyp26b1	   0.29144	    1.4365	  -0.84906	    -1.274	    -1.274	 -0.067671	    1.6624	    1.7967	     1.089	   0.13742	    -1.274	   0.45886	-0.0069133	  -0.12421	  -0.12467	    1.4541	   0.19824	    -1.274	 -0.076454	    -1.274	  -0.41682	  -0.48876
Mapk9	  0.83779	 -0.60369	 -0.47097	  -1.7056	 -0.70219	-0.035924	  0.61718	  0.30919	   0.5101	  -1.3043	 -0.89343	   1.1025	  0.11026	  0.57029	  0.15753	   2.1823	   1.2536	  -1.0242	  -1.1761	 -0.84439	 -0.28149	   1.3916
Usp11	 -0.14573	  -1.6157	  -1.3588	  -1.9168	 -0.25515	 -0.15058	    1.545	  0.34693	  0.62108	   0.2429	  -1.0046	  0.44057	   -0.467	  0.73986	 0.093917	   1.5864	   1.0035	  -1.1261	-0.056126	 -0.59846	  0.52528	   1.5497
4930544D05Rik	 -0.80481	 -0.80481	 -0.80481	 -0.80481	 -0.80481	 -0.80481	 -0.17633	 -0.80481	-0.032294	 -0.80481	 -0.80481	   1.6588	   2.0907	   2.0723	  0.10496	  0.30416	   1.0358	  0.33452	 -0.80481	 -0.80481	  0.91905	  0.54127
Gzma	-0.29235	-0.20339	-0.03806	-0.68539	 0.10134	-0.25053	-0.65582	-0.52737	 -1.0575	 -1.3312	-0.98698	  1.2561	  1.2659	  1.7962	  1.8948	 0.69125	 0.73886	 -1.1849	-0.96097	-0.97161	 0.20996	  1.1917
Mov10	 -0.2255	-0.44622	 0.61269	-0.56176	-0.01498	-0.74229	-0.35347	-0.71725	-0.26943	 -1.4153	 -0.8537	  1.7449	  1.9104	  1.6042	  1.4567	 0.58143	 0.67315	 -1.1875	-0.98805	 -1.1878	 0.10772	 0.27207
Nfrkb	 0.10083	-0.41291	 -0.5761	 0.23618	 0.67727	-0.42673	-0.55148	 -1.5333	-0.89011	 -1.3684	 -1.4201	   0.575	  1.4023	  1.7759	  1.7595	 0.65819	  0.9998	-0.99103	-0.36853	-0.51268	-0.16622	  1.0326
Slc39a4	-0.024147	 -0.19874	  0.42996	 -0.11141	 -0.76345	  -1.0074	  0.28943	 -0.47292	   0.1937	 -0.45359	  -1.3352	   1.1634	   2.1799	  0.85361	  0.90919	   1.4579	  0.65471	  -1.3595	 -0.76482	  -1.9815	 -0.14527	  0.48607
Fancf	 -0.48902	  0.16422	  0.90595	 -0.66792	 -0.25755	  -1.3399	 -0.50405	 -0.25119	   -0.311	  -2.7141	 -0.66644	   1.9633	   1.4593	   1.2348	    1.045	 -0.35605	  0.67262	  0.05107	 -0.28538	-0.096964	  0.28937	  0.15393
H3f3b	-0.39266	0.034764	 0.36574	-0.53153	  0.3672	 -2.0125	-0.66322	-0.15436	 0.72692	 -1.1189	-0.54908	  1.5679	  1.0344	  1.0097	 0.24594	 0.81558	  2.1867	-0.80239	  -1.498	 -0.8545	0.098225	 0.12398
S1pr2	 0.31263	 0.76745	  1.0526	-0.87831	-0.58743	 -1.9267	0.089294	-0.92804	 0.51967	 -1.6299	-0.62226	  1.4805	 0.98266	  1.4453	 0.44429	 0.57944	 0.83934	-0.55265	-0.98056	 -1.3664	 0.72014	 0.23889
Taf5l	 -0.22368	   1.4503	   1.2532	  -1.4954	 -0.06675	  -2.0089	  -0.4244	-0.081976	 -0.25867	  -1.1325	  -1.4562	  0.26872	   1.4316	   1.3776	  0.86579	   0.4784	   1.1193	  0.14213	  -1.0255	 -0.12678	-0.035126	-0.051007
Oxr1	  0.31241	  0.56219	  0.62172	  -2.3049	  -1.6845	  -1.5512	 -0.39879	  0.18007	 -0.17881	 -0.81979	 -0.22708	   1.2892	   0.5482	     1.69	  0.66407	  0.37329	-0.049543	 -0.22985	 -0.32112	  0.34293	 -0.48717	   1.6686
Smurf2	 -0.12333	   1.0164	  0.63879	 -0.70031	 -0.97397	  -1.2267	  -0.4355	 -0.31525	  -0.1758	  -1.5534	  -1.1189	   1.3134	   1.0287	  0.91769	  0.68076	  0.54645	-0.073176	 -0.59597	 -0.86422	 -0.30468	 -0.31329	   2.6323
Smim24	  0.62099	  0.53604	  0.19606	 -0.69415	 -0.87892	  -1.4876	 -0.45553	 -0.71891	  0.18414	  0.11523	  -1.4205	   1.7632	   1.2103	   1.8212	    0.122	 0.086146	 0.011137	  -1.1347	  -1.6472	  0.41159	-0.036191	   1.3956
1110037F02Rik	 0.90042	 0.52989	  1.1475	 -1.4552	 -1.1123	-0.22191	 0.81899	 0.33232	 0.35645	-0.73826	 -1.2276	  1.3067	 0.59655	 0.63666	-0.39109	 0.48257	-0.36378	 -1.7682	-0.69664	 -1.5023	 0.65297	  1.7162
Ahsa2	  0.82711	-0.013103	0.0064248	  -1.2768	 -0.79562	  0.71627	   1.1035	  0.12738	   1.2539	  -1.2902	  -0.9923	   1.6555	  0.47944	  0.11928	 -0.31329	-0.051942	 -0.89473	  -1.6431	 -0.53308	  -1.1546	   0.9375	   1.7326
Pdzd2	 0.80597	 0.43872	 0.43246	 -1.2446	-0.42858	 0.70511	 0.98015	 0.31172	 0.29376	-0.69201	 -0.2094	  0.9543	  1.2423	 0.37283	-0.43664	-0.85334	-0.96008	 -1.1929	-0.70485	 -2.4586	  1.0206	  1.6231
Parp14	 0.67529	-0.42051	  1.2763	 -1.3112	 -1.1365	 0.75123	 0.63795	 -0.5664	 0.14821	-0.38002	-0.27577	   1.438	 0.49815	 0.90678	-0.17846	 0.54898	-0.56751	  -2.302	 -1.2215	-0.72275	 0.52564	  1.6761
Zcchc18	   0.59477	-0.0035459	  0.050983	   -1.9493	  -0.70857	    0.2254	     1.002	  -0.65334	  -0.32394	  -0.34286	 -0.073671	    1.3554	   0.67626	   0.96858	  -0.55548	   0.62795	   0.23124	   -1.7157	   -1.3236	   -1.1348	    1.4999	    1.5524
Ddit3	  0.31212	 -0.85307	0.0081809	  -1.6597	 -0.30707	  0.80007	  0.90549	  -0.4454	   1.5461	  -1.2524	  -1.2221	  0.54085	  0.77602	  0.97876	 -0.62619	  0.25388	 -0.42198	 -0.68945	 -0.87084	  -1.0303	   1.3745	   1.8825
Zfp429	   1.1441	 -0.19092	  0.76788	   -2.912	  -0.0343	 -0.43839	  0.59035	 -0.22479	  0.56229	  -1.3516	 -0.58492	  0.53426	  0.58451	  0.68505	  0.22348	 -0.71293	  0.04437	 -0.60999	-0.099309	 -0.97193	   1.3549	   1.6398
4930481A15Rik	  1.2454	-0.48024	-0.76522	  -1.396	-0.89617	 0.97323	  1.6435	 0.56347	  1.6649	 -0.6844	 -1.0042	 0.52893	 0.81371	-0.48359	  0.6619	 0.48233	 -1.1998	-0.54949	 -1.5692	-0.67649	0.052495	   1.075
Gtf2ird2	   0.60219	  -0.48749	  -0.27454	   -1.2608	  -0.99788	   0.93417	    1.5512	   0.93441	   0.83147	  -0.31458	  -0.52682	-0.0086215	   0.84599	   0.18479	   0.93338	   0.35678	  -0.76221	   -1.9818	   -1.8108	  -0.84628	   0.86567	    1.2318
Bcl2l15	  0.31844	-0.080365	   1.5156	 0.073374	  -1.3147	 0.046391	  0.19362	 -0.30381	   1.6795	 -0.97267	  -1.7257	  0.90661	   1.9464	 -0.48741	 -0.98946	  0.13443	 -0.25349	 -0.96968	  -1.0616	 -0.30557	  0.29911	   1.3511
Rprd2	 0.38072	-0.97172	  1.5451	 -1.5415	 -1.3571	0.099825	 0.53474	-0.70344	 0.37825	 -0.7171	 -0.2119	 0.91946	  1.9448	  1.0162	  0.3832	  1.0978	-0.18624	 -1.3487	-0.99431	-0.46056	-0.83313	  1.0256
A330023F24Rik	  0.47118	  -1.0424	  0.60681	 -0.58814	  -1.5703	  0.42377	   1.3863	   1.1234	  0.15274	-0.041634	   1.2077	  0.68263	   1.0564	  0.53094	 -0.30116	 -0.84252	  -1.4005	  -1.9263	 -0.87662	 -0.64001	  0.12706	   1.4607
Lrp2bp	 0.85836	-0.22954	-0.16745	 -1.3331	 -2.1073	-0.18921	 0.76608	   1.149	 0.42685	-0.57606	 0.84269	 0.96992	  1.9983	-0.14026	 0.47454	-0.37086	 0.48875	-0.48351	-0.56553	 -2.1073	 -0.1716	  0.4673
1700047A11Rik	 0.97168	-0.22553	  1.8206	 -2.4841	-0.60255	 0.26001	 0.38751	 0.67767	-0.70139	-0.35243	 0.46869	  1.3462	-0.63706	 0.67835	-0.66338	  1.1086	  0.6879	 -1.1457	-0.20015	 -1.0948	 -0.9334	 0.63335
Ank	 0.74132	  0.3915	  1.3279	 -2.6448	-0.21057	 0.15928	  0.6932	  1.0524	 0.39867	 -1.2003	-0.33839	-0.44508	 0.21896	 0.51504	 0.48304	  1.5539	 0.91663	 -1.5346	 -0.4955	-0.73081	 -1.0046	 0.15279
Cep85l	  0.95527	  0.36693	   1.3798	 -0.10501	  -1.4786	  0.70339	   1.0616	  0.53242	  0.93398	  0.10758	-0.074217	  0.73295	  0.32166	 -0.83605	  -1.8578	  0.12169	  0.12234	 -0.72307	  -1.1771	  -2.2716	  0.10885	    1.075
Gm19395	 0.73293	 0.53681	  1.7498	-0.23587	 -1.8828	 0.14832	 0.77842	 0.52006	 0.43585	 0.74927	 0.33399	   1.512	-0.55672	-0.50757	 -1.0457	 0.29672	 0.74895	 -1.1365	 -1.8828	 -1.1078	-0.82627	 0.63884
Gas2	  1.3864	 0.24464	  1.4481	 -1.4554	-0.92633	 0.21071	  0.6991	0.014454	 0.36472	-0.86828	-0.37497	 0.23908	 0.19484	 0.28901	-0.94284	 0.77149	  1.2293	  -1.989	 0.91708	 -1.6945	-0.74845	  0.9908
Msl3l2	 0.94809	 0.75979	  1.0918	 -1.4485	  -1.492	 0.84348	  1.1403	 0.32884	 0.96161	0.073787	-0.70335	-0.37192	 0.85373	-0.85028	  -1.456	  1.3502	 0.32126	 -1.2344	-0.15975	 -1.6698	0.014038	 0.69902
Srrm2	  0.79055	   0.0831	   1.5863	  -1.4444	  -1.7014	   1.1622	   1.1878	   0.4647	  0.96187	 -0.19654	 -0.49348	   0.8598	  0.34464	  0.30173	 -0.66219	  0.95184	-0.022028	  -1.6577	 -0.27747	   -1.671	 -0.83788	  0.26959
Tnrc6b	  0.8488	  0.4094	  1.1967	 -1.1666	 -2.1831	  0.8608	   1.315	 0.95138	 0.36562	-0.76855	-0.73935	 0.92279	 0.87692	 0.57974	 0.05205	 0.40932	-0.27337	 -1.6668	 -0.3822	  -1.503	-0.56086	 0.45524
Vezf1	  0.75479	   0.9809	   1.2001	 -0.98678	  -1.3288	-0.089823	  0.66965	  0.36775	  0.95744	   -1.349	  -2.6241	  0.66348	  0.60194	  0.68896	 -0.37581	  0.72797	  -0.7053	 -0.34464	 -0.01968	 -0.84168	 -0.26332	   1.3159
Zcchc6	   0.66578	  0.040472	    1.1543	    -1.139	   -1.3506	   0.47493	    1.1069	   0.63735	    1.7847	   -1.3555	   -1.5535	    1.1678	  -0.47936	   0.57681	    -1.023	   0.51847	 -0.076432	  -0.83222	-0.0089345	   -1.1742	  -0.31381	    1.1793
D630041G03Rik	-0.068159	   0.6275	   1.0841	 -0.50209	 -0.76649	  0.99268	   1.5781	 0.089199	  0.64805	  -1.0062	  0.33979	   1.5676	  0.30598	  0.39464	   -1.519	  -1.3308	 -0.78202	  0.10841	-0.010475	  -2.3788	 -0.06752	  0.69538
Mettl21c	 0.34672	0.046484	  1.8712	 -1.0727	 -1.1755	-0.49295	  1.0141	 0.12759	  1.6308	 -1.3089	 0.84091	  1.5065	 -0.2059	 0.92544	-0.77141	-0.53277	-0.87609	-0.93236	-0.41306	 -1.2458	-0.27818	 0.99593
Slc51a	   0.36721	   0.62046	    1.4608	  -0.93778	  -0.41937	 -0.051015	    1.1037	   0.14457	    2.2778	   -1.1274	    1.0893	  0.089232	  -0.25497	   0.86241	   -0.7279	  -0.54536	  0.044169	  -0.88369	  -0.89268	   -2.2751	  0.056871	-0.0014594
A230073K19Rik	0.0058316	 -0.40847	   1.9323	  -1.5183	  -2.0936	  -1.2135	  -0.2541	   1.0228	   1.5249	  -1.1588	  0.51868	  0.58724	 -0.37318	  0.82147	  0.92302	 -0.39183	  0.64165	 -0.25347	  0.40428	 -0.86858	 -0.32485	  0.47649
Arap2	 0.12982	  0.8794	   2.024	 -1.1607	 -1.3324	-0.37111	-0.27757	 0.56092	  1.7731	 -1.1934	-0.23372	  1.2408	0.075432	 0.66838	-0.22959	0.092517	   1.099	 -1.2038	-0.94993	 -1.0378	-0.98236	 0.42896
March7	 -0.53797	   1.3151	   1.5187	  -1.1216	  -1.1803	 -0.72306	 -0.30434	   1.1509	   2.0438	  -0.6426	-0.069251	   1.1299	-0.061804	  0.24275	 -0.48351	 -0.56543	   1.2655	  -1.5345	 -0.90781	 -0.40737	 -0.62988	  0.50277
Cdc27	-0.40382	 0.59638	  2.0931	-0.73298	 -1.5675	 -0.8414	 -1.0721	 0.31887	 0.90297	-0.84417	-0.28548	  1.9134	 0.39228	  1.3502	 0.52033	-0.40536	 0.86997	 -1.0106	 -0.5319	-0.97101	-0.60246	 0.31131
Stat4	-0.55466	 0.20295	  1.5099	  -1.007	 -1.4161	-0.71835	 -0.7628	-0.12505	  1.1234	-0.93929	-0.36899	  1.8202	     1.3	  1.3303	  1.3059	-0.65447	0.017051	 -1.0548	-0.73742	 -1.0095	 0.14258	 0.59621
Raver2	-0.28702	 0.61892	  1.4568	 -1.1261	-0.86149	-0.53396	-0.74681	 0.64105	  1.6067	 -1.9163	 -0.6277	  1.3519	 0.16235	  1.6262	0.075442	 0.15717	 0.83606	  -0.929	-0.13046	 -1.4797	 -0.2614	 0.36748
Cebpz	 -0.37662	0.0084141	   1.6049	 -0.93419	  -1.9887	 -0.74283	 -0.20827	  0.57069	   1.5996	 -0.95381	 -0.30753	   1.7456	  -0.3112	   1.0833	 -0.56745	  0.76278	  0.99181	 -0.26783	-0.031703	 -0.35966	  -1.5795	  0.26219
Hivep2	-0.56038	 0.15556	  2.0459	 -1.2651	 -1.4272	-0.88502	-0.43547	0.033304	  1.8397	 -1.1142	 -1.0579	  1.5336	  0.3413	  1.4464	  0.0418	-0.11615	 0.79587	 0.15851	-0.13866	-0.14247	  -0.805	-0.44451
Gng4	-0.22205	   0.652	  2.4024	-0.75746	-0.56974	 -1.0606	-0.25796	-0.11805	  2.5985	-0.45143	 -1.0027	 0.37236	 0.35399	  1.2176	 0.67484	-0.92025	-0.26722	-0.74163	-0.22305	-0.43035	-0.66611	-0.58316
Runx1	   0.1572	  0.55937	   2.3062	-0.081413	 -0.15295	 -0.32803	  -1.1569	  -0.4081	   1.1532	  -1.2921	  -1.1325	   1.6058	   0.9274	    1.239	  0.68969	   -0.254	  0.44227	 -0.71793	 -0.90365	  -1.0005	 -0.90283	 -0.74924
AU040972	 -0.44143	 -0.15575	   1.5865	 -0.34069	  -2.2888	 -0.12901	  0.75259	  0.30629	      1.9	 -0.47617	 -0.59402	    1.541	  0.86982	  0.34805	  -1.0721	 -0.59138	    1.036	 -0.10285	 -0.29746	  -1.4097	  -0.3516	-0.089318
Larp4b	  0.69808	  0.47055	    1.302	 -0.72638	   -2.143	  -0.6719	   0.4134	  0.27871	   1.3511	-0.090765	 -0.21506	   1.0498	 0.071761	   1.0939	 0.014175	  0.71104	  0.49014	  -1.1064	-0.084934	  -1.5309	  -1.9771	  0.60171
Slc15a2	  0.45309	  0.84164	   1.5315	 -0.80643	   -1.629	 -0.15614	  0.64379	  0.77655	   1.4135	 -0.78412	  -0.4161	  0.73552	  0.61651	   1.2321	  -1.1131	 -0.74649	  0.23431	  -1.1099	-0.075577	 -0.90857	  -1.7784	   1.0453
Sp3	 0.43551	  1.2414	  2.0715	 -1.4013	 -2.0973	-0.80784	  0.1554	 0.81142	  1.7976	-0.54613	0.021575	 0.86531	 0.65569	0.046711	 0.24433	-0.50601	-0.28481	-0.60462	-0.83941	-0.45406	-0.93756	 0.13268
Tbl1x	  1.0362	  1.5187	  1.7241	-0.69696	 -2.0466	-0.60874	 0.90798	  1.2056	 0.63506	-0.35066	-0.25434	  1.1121	 0.45432	 0.52661	-0.53152	-0.38904	-0.21186	-0.38975	-0.47697	 -0.9028	 -1.7563	-0.50512
Avl9	  0.13685	   1.1037	   1.2597	  -1.0899	  -2.8131	 -0.59654	 0.086157	   0.8785	  0.33235	 0.054566	-0.027077	  0.97912	  0.26395	 -0.27221	-0.072854	  0.21831	    1.656	 -0.96728	 -0.70675	 -0.86574	  -0.6859	   1.1281
Zbtb33	 -0.11495	  0.81337	   1.0413	  -2.0261	  -3.0708	-0.036218	 -0.36043	  0.10245	 -0.23942	 -0.41005	-0.086818	   1.0112	  0.41021	-0.073816	  0.01423	  0.86621	   1.2265	 -0.66716	 -0.11267	  0.49361	  0.14307	   1.0763
Smchd1	-0.55726	 0.21282	 0.97225	 -1.0677	 -2.4626	-0.14573	-0.88459	-0.14116	 0.39054	 -0.8449	 0.41115	  1.8677	  0.3976	    0.88	 0.25343	   0.281	  2.0222	-0.79742	 -0.1967	-0.10423	 -1.0107	  0.5243
Swt1	 0.68997	 0.16536	 0.95146	  -1.758	  -2.902	-0.41705	 0.24386	  0.1798	  1.1049	-0.77062	-0.61765	 0.88285	 -1.0472	 0.96824	 0.45799	 0.88311	-0.35699	  0.1739	-0.05681	 0.59683	-0.42758	  1.0556
Tmed5	 0.71603	  1.3799	  1.4617	-0.93862	  -2.271	 -1.2622	-0.69418	 0.84785	  1.2632	-0.38995	-0.16417	 0.64234	 -0.9463	 0.25245	 0.50951	  0.4339	  0.6794	-0.11699	-0.58706	-0.13747	  -1.554	 0.87563
Ubxn2a	 0.38566	  1.0948	 0.83094	  -0.987	 -2.3304	 -1.5189	-0.43596	 0.52175	 0.31839	 -1.2167	-0.77493	  1.0237	-0.15776	  0.4487	  1.2794	 0.99241	 0.61587	 0.07384	 0.45158	 0.47746	 -1.6179	 0.52508
Lysmd3	  0.57588	   1.3559	  0.65755	  -1.7076	  -1.1941	  -1.0977	-0.099523	  0.80361	   1.1714	 -0.83933	 -0.72482	   1.6741	  0.99611	  -1.0385	  -1.0508	 -0.23611	  0.82074	 -0.50899	 -0.47293	  0.20198	 -0.67009	   1.3833
Cytip	 -0.51256	   0.5757	   1.9343	 -0.45468	-0.042468	 -0.54011	  -1.7071	 -0.70332	  0.94919	  -1.5026	 -0.69267	   1.3842	  0.76437	-0.052172	 -0.34715	  0.55622	    1.948	 -0.96109	 -0.27969	 -0.98836	  0.03197	  0.63998
Nmrk2	 -0.1008	-0.82433	  1.7012	-0.29665	0.083484	  -1.184	 0.42986	   0.219	 0.73283	 0.10434	0.020814	  0.9875	-0.19265	 0.65332	  1.0602	  1.2842	  1.2138	 -2.1516	 -1.2556	-0.68674	 -1.6601	-0.13805
9330175E14Rik	  0.52794	   0.3802	  0.66052	 -0.96573	 -0.94484	  0.19134	   0.5659	   1.8478	  0.36313	  -2.0311	 -0.55724	 -0.12155	  0.83494	  0.46768	 -0.54311	-0.065878	   1.9707	  -1.4434	  -1.4597	 -0.52751	  0.35804	  0.49194
Gbp2b	 0.25258	   1.816	 -0.9131	 -0.9131	 -0.9131	-0.48426	 0.58553	  2.7597	-0.35875	 -0.9131	 -0.9131	-0.39353	 0.64554	-0.42441	 0.10628	 0.10579	  1.5178	 -0.9131	-0.40259	 -0.9131	 0.23701	 0.42902
Impad1	  0.73204	   2.1069	   0.5133	  -1.6712	 -0.23188	   -1.835	 -0.62689	  0.93193	 0.025494	 -0.59496	  0.50184	-0.042908	 0.086339	-0.048575	  -0.5124	  0.12811	   2.0393	  -1.0605	-0.089183	  -1.2787	  0.33464	  0.59227
3110052M02Rik	  1.4533	 0.93212	   1.157	-0.73259	  -2.266	 0.44524	  1.0016	0.041785	 -1.2065	-0.59999	 -1.2696	 0.56581	-0.91204	 0.59235	-0.28296	 0.64961	 0.19207	 -1.1324	-0.50705	-0.06624	 0.30059	  1.6439
Scly	   1.2094	  0.66872	  0.78826	 -0.74074	 -0.48706	  0.71762	   1.0187	 -0.10235	  -1.4064	   -1.523	  -1.3598	  0.81482	  -1.1917	 0.013062	  0.18279	   1.6105	-0.098926	  -1.2814	  0.15601	  -1.0993	  0.78187	    1.329
Klrb1	 0.17113	 0.99519	 0.64241	-0.71267	 -1.4049	-0.23732	  1.1919	0.035008	  1.0116	-0.20951	 -1.4049	 0.68569	-0.91007	 0.62615	  1.1342	-0.91765	 0.49916	 -1.4049	-0.86813	 -1.4049	 0.64244	  1.8399
Tpp2	  0.71421	  0.99226	   1.1889	 -0.99528	  -2.0896	  0.13187	 -0.01496	  0.74049	  0.79893	 -0.94845	-0.094859	   1.0666	 -0.15864	   1.0204	  0.70461	 -0.83676	  -0.6293	   -1.248	  -1.2323	  -1.0083	  0.26679	   1.6313
Papd4	 0.74589	 0.56625	  1.0294	-0.12088	 -2.1674	-0.04128	 0.59579	 0.91316	 0.11339	 -1.9183	 -1.1691	 0.14417	0.030307	 0.96323	0.017705	 0.28422	  0.3874	 -1.7285	-0.41024	-0.69356	 0.86751	  1.5909
